group	strain	isotype	isotype_ref_strain
0	BRC20391	BRC20391	BRC20391
1	BRC20400	BRC20400	BRC20400
2	BRC20464	BRC20464	BRC20464
3	BRC20548	BRC20548	BRC20548
4	ECA1299	ECA1299	ECA1299
5	ECA1300	ECA1300	ECA1300
6	ECA1301	ECA1301	ECA1301
7	ECA1302	ECA1302	ECA1302
8	ECA1303	ECA1303	ECA1303
9	ECA1304	ECA1304	ECA1304
10	ECA1305	ECA1305	ECA1305
11	ECA1306	ECA1306	ECA1306
12	ECA1307	ECA1307	ECA1307
13	ECA1309	ECA1309	ECA1309
14	ECA1310	ECA1310	ECA1310
15	ECA1311	ECA1311	ECA1311
16	ECA1312	ECA1312	ECA1312
17	ECA1313	ECA1313	ECA1313
18	ECA1401	ECA1401	ECA1401
19	ECA1403	ECA1403	ECA1403
20	ECA1405	ECA1405	ECA1405
21	ECA1445	ECA1445	ECA1445
22	ECA1447	ECA1447	ECA1447
23	ECA1449	ECA1449	ECA1449
24	ECA1451	ECA1451	ECA1451
25	ECA1453	ECA1453	ECA1453
26	ECA1481	ECA1481	ECA1481
27	ECA1518	ECA1518	ECA1518
28	ECA1579	ECA1579	ECA1579
29	ECA1581	ECA1581	ECA1581
30	ECA1583	ECA1583	ECA1583
31	ECA1585	ECA1585	ECA1585
32	ECA1599	ECA1599	ECA1599
33	ECA1603	ECA1603	ECA1603
34	ECA2087	ECA2087	ECA2087
35	ECA2898	ECA2898	ECA2898
36	ECA2899	ECA2899	ECA2899
37	ECA2900	ECA2900	ECA2900
38	ECA2909	ECA2909	ECA2909
39	ECA2910	ECA2910	ECA2910
40	ECA2920	ECA2920	ECA2920
41	ECA2954	ECA2954	ECA2954
42	ECA2955	ECA2955	ECA2955
43	ECA2976	ECA2976	ECA2976
44	ECA3053	ECA3053	ECA3053
45	ECA788	ECA788	ECA788
46	ECA789	ECA789	ECA789
47	ECA790	ECA790	ECA790
48	ECA791	ECA791	ECA791
49	ECA792	ECA792	ECA792
50	ECA793	ECA793	ECA793
51	ECA794	ECA794	ECA794
52	ECA795	ECA799	ECA799
52	ECA799	ECA799	ECA799
53	ECA796	ECA796	ECA796
54	ECA797	ECA797	ECA797
55	ECA798	ECA798	ECA798
56	ECA800	ECA800	ECA800
57	ECA801	ECA801	ECA801
58	ECA802	ECA802	ECA802
59	ECA803	ECA803	ECA803
60	ECA804	ECA804	ECA804
61	ECA805	ECA805	ECA805
62	ECA806	ECA806	ECA806
63	EG5889	EG5889	EG5889
64	EG6180	EG6180	EG6180
65	HPT25	HPT25	HPT25
66	HPT33	HPT33	HPT33
67	HPT39	HPT39	HPT39
68	HPT56	HPT56	HPT56
69	JU1373	JU1373	JU1373
70	JU1374	JU1374	JU1374
71	JU1428	JU1428	JU1428
71	JU1429	JU1428	JU1428
71	JU1430	JU1428	JU1428
72	JU1630	JU1630	JU1630
73	JU1631	JU1631	JU1631
74	JU1632	JU1632	JU1632
75	JU1633	JU1633	JU1633
76	JU1634	JU1634	JU1634
77	JU1635	JU1635	JU1635
78	JU1636	JU1636	JU1636
79	JU1639	JU1639	JU1639
80	JU1640	JU1640	JU1640
81	JU1641	JU1641	JU1641
82	JU1800	JU1800	JU1800
83	JU1818	JU1818	JU1818
84	JU1819	JU1819	JU1819
85	JU1821	JU1821	JU1821
86	JU1831	JU1850	JU1850
86	JU1850	JU1850	JU1850
87	JU1835	JU1835	JU1835
88	JU1836	JU1836	JU1836
89	JU1838	JU1838	JU1838
89	JU1839	JU1838	JU1838
90	JU1845	JU1845	JU1845
91	JU1846	JU1846	JU1846
92	JU1847	JU1847	JU1847
93	JU1848	JU1848	JU1848
94	JU1849	JU1849	JU1849
94	NIC53	JU1849	JU1849
95	JU1851	JU1851	JU1851
96	JU1870	JU1870	JU1870
97	JU1871	JU1871	JU1871
97	JU1872	JU1871	JU1871
98	JU1975	JU1975	JU1975
99	JU1976	JU1976	JU1976
100	JU2505	JU2505	JU2505
101	JU2750	JU2750	JU2750
101	JU2751	JU2750	JU2750
102	JU2752	JU2752	JU2752
103	JU3170	JU3170	JU3170
104	NIC1000	NIC1000	NIC1000
104	NIC1001	NIC1000	NIC1000
105	NIC1004	NIC1004	NIC1004
106	NIC1005	NIC1005	NIC1005
107	NIC1012	NIC1012	NIC1012
108	NIC1015	NIC1016	NIC1016
108	NIC1016	NIC1016	NIC1016
109	NIC1028	NIC1028	NIC1028
110	NIC1029	NIC1038	NIC1038
110	NIC1038	NIC1038	NIC1038
111	NIC1033	NIC1033	NIC1033
112	NIC105	NIC105	NIC105
113	NIC1112	NIC1112	NIC1112
114	NIC1114	NIC1116	NIC1116
114	NIC1115	NIC1116	NIC1116
114	NIC1116	NIC1116	NIC1116
115	NIC1121	NIC1121	NIC1121
115	NIC1122	NIC1121	NIC1121
116	NIC1126	NIC1126	NIC1126
116	NIC1129	NIC1126	NIC1126
117	NIC1130	NIC1160	NIC1160
117	NIC1133	NIC1160	NIC1160
117	NIC1159	NIC1160	NIC1160
117	NIC1160	NIC1160	NIC1160
118	NIC1132	NIC1132	NIC1132
119	NIC1136	NIC1136	NIC1136
120	NIC1137	NIC1137	NIC1137
121	NIC114	NIC114	NIC114
122	NIC1140	NIC1140	NIC1140
123	NIC1142	NIC1142	NIC1142
124	NIC1144	NIC1144	NIC1144
125	NIC1145	NIC1145	NIC1145
126	NIC1146	NIC1146	NIC1146
127	NIC1147	NIC1147	NIC1147
128	NIC1148	NIC1149	NIC1149
128	NIC1149	NIC1149	NIC1149
129	NIC1150	NIC1150	NIC1150
130	NIC1151	NIC1151	NIC1151
131	NIC1152	NIC1152	NIC1152
132	NIC1153	NIC1153	NIC1153
133	NIC1155	NIC1155	NIC1155
134	NIC1156	NIC1156	NIC1156
135	NIC1157	NIC1157	NIC1157
136	NIC1161	NIC1161	NIC1161
137	NIC1162	NIC1163	NIC1163
137	NIC1163	NIC1163	NIC1163
138	NIC1164	NIC1164	NIC1164
139	NIC1165	NIC1165	NIC1165
140	NIC1166	NIC1167	NIC1167
140	NIC1167	NIC1167	NIC1167
141	NIC1168	NIC1168	NIC1168
142	NIC1169	NIC1169	NIC1169
143	NIC1170	NIC1170	NIC1170
143	NIC1173	NIC1170	NIC1170
144	NIC1171	NIC1180	NIC1180
144	NIC1172	NIC1180	NIC1180
144	NIC1178	NIC1180	NIC1180
144	NIC1180	NIC1180	NIC1180
145	NIC1174	NIC1175	NIC1175
145	NIC1175	NIC1175	NIC1175
146	NIC1176	NIC1176	NIC1176
147	NIC1177	NIC1177	NIC1177
148	NIC1179	NIC1179	NIC1179
149	NIC1181	NIC1181	NIC1181
150	NIC1187	NIC1188	NIC1188
150	NIC1188	NIC1188	NIC1188
151	NIC1192	NIC1192	NIC1192
152	NIC1193	NIC1193	NIC1193
153	NIC120	NIC125	NIC125
153	NIC125	NIC125	NIC125
154	NIC121	NIC124	NIC124
154	NIC124	NIC124	NIC124
155	NIC122	NIC122	NIC122
