species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis briggsae,,NIC1292,NIC1292,175b,20210803,NIC,3.630410973,-53.20572797,Forest,,Rotting_flower,"Gustavia (?) flower, white",,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-11,"Sentier Monts la Fumée, Saül",,False,,True,True
Caenorhabditis briggsae,,NIC1295,NIC67,172,20210803,NIC,3.629464991,-53.20589201,Forest,,Fungus,Mushroom,,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-11,"Sentier Monts la Fumée, Saül",,False,,False,True
Caenorhabditis briggsae,,NIC1296,NIC67,173b,20210803,NIC,3.629718963,-53.20582797,Forest,,Rotting_nut/pod/seed/fruit,"Chadek (in forest, waste)",,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-11,"Sentier Monts la Fumée, Saül",,False,,False,True
Caenorhabditis briggsae,,NIC1302,NIC1302,152b,20210803,NIC,3.616456026,-53.20972002,Forest,,Rotting_nut/pod/seed/fruit,Figs rotten,,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-10,"Sentier Gros Arbres, Saül",,False,,True,True
Caenorhabditis briggsae,,NIC1303,NIC67,173a,20210803,NIC,3.629718963,-53.20582797,Forest,,Rotting_flower,White tubular flowers,,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-11,"Sentier Monts la Fumée, Saül",,False,,False,True
Caenorhabditis briggsae,,NIC1304,NIC1304,236,20210803,NIC,3.617134038,-53.19634804,Forest,,Rotting_flower,"Red flowers, fresh",,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-12,"Sentier Roche Bateau, Saül",,False,,True,True
Caenorhabditis briggsae,,NIC1306,JU1814,325a,20210803,NIC,4.8681950289756,-52.347927019,Forest,,Rotting_nut/pod/seed/fruit,"palm fruit, rotten, relatively fresh",,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-16,"Sentier La Mirande, Matoury",,False,,False,True
Caenorhabditis briggsae,,NIC1308,NIC1308,328a,20210803,NIC,4.86442099325358,-52.3459600377827,Forest,,Rotting_nut/pod/seed/fruit,"palm fruits, old",,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-16,"Sentier La Mirande, Matoury",,False,,True,True
Caenorhabditis briggsae,,NIC1351,NIC67,394b,20210803,NIC,4.04693900607526,-52.6781709864735,Forest,,Rotting_flower,"Astrocaryum pollen, fresh, fallen on trunk/ground",,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-23,Parare-Inselberg trail,,False,,False,True
Caenorhabditis briggsae,,NIC1356,NIC67,421,20210803,NIC,4.06495498493313,-52.6839649770408,Forest,,Rotting_nut/pod/seed/fruit,"finger fruits, gresh green - not Cecropia",,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-23,Parare-Inselberg trail,,False,,False,True
Caenorhabditis briggsae,,NIC1373,NIC67,381,20210803,NIC,4.04093798249959,-52.6757770311087,Forest,,Rotting_flower,white fresh flowers,,,,,"C. Braendle, A. Cutter",C. Braendle,2015-08-23,Parare,,False,,False,True
