"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"1","NIC1156","A",1e-05,0.319237,"NIC1156",-12.990649,-69.507455,"South America","LAC"
"2","NIC1157","A",1e-05,0.320798,"NIC1157",-12.990649,-69.507455,"South America","LAC"
"3","NIC436","A",1e-05,0.346438,"NIC436",4.08678,-52.67515,"South America","LAC"
"4","QG3793","A",1e-05,0.363319,"QG3793",10.42583333,-84.00995,"Central America","LAC"
"5","NIC941","A",1e-05,0.366517,"NIC941",4.03687,-52.67743,"South America","LAC"
"6","HPT56","A",1e-05,0.408775,"HPT56",-8.52582,115.167492,"Indonesia","Indo1"
"7","NIC363","A",1e-05,0.416061,"NIC363",4.95234,-52.49148,"South America","LAC"
"8","NIC1432","A",1e-05,0.431591,"NIC1432",4.087813022,-52.67992197,"South America","LAC"
"9","NIC492","A",1e-05,0.432664,"NIC492",4.0864,-52.67639,"South America","LAC"
"10","NIC1886","A",0.436728,0.436728,"NIC1886",14.705951,-61.092991,"Caribbean","LAC"
"11","NIC1927","A",1e-05,0.439107,"NIC1927",14.719237,-61.100187,"Caribbean","LAC"
"12","NIC344","A",0.041613,0.448583,"NIC344",5.41063,-53.6564,"South America","LAC"
"13","NIC443","A",1e-05,0.474307,"NIC443",4.08447,-52.67858,"South America","LAC"
"14","QG3522","A",1e-05,0.478041,"QG3522",10.42974,-84.00938,"Central America","LAC"
"15","NIC1862","A",1e-05,0.48025,"NIC1862",14.843986,-61.214646,"Caribbean","LAC"
"16","JU2752","A",0.488881,0.488881,"JU2752",16.1761,-61.6951,"Caribbean","LAC"
"17","HPT33","A",1e-05,0.494814,"HPT33",-5.2563,119.86386,"Indonesia","Indo3"
"18","NIC986","A",1e-05,0.509173,"NIC986",4.03726,-52.67243,"South America","LAC"
"19","NIC2355","A",1e-05,0.515049,"NIC2355",4.041457996,-52.676275,"South America","LAC"
"20","QG3808","A",1e-05,0.516319,"QG3808",10.43288,-84.00678,"Central America","LAC"
"21","QG3800","A",1e-05,0.516529,"QG3800",10.42974,-84.00938,"Central America","LAC"
"22","NIC417","A",1e-05,0.521297,"NIC417",4.07829,-52.68732,"South America","LAC"
"23","JU1846","A",1e-05,0.5234,"JU1846",4.0911,-52.674633,"South America","LAC"
"24","JU1819","A",1e-05,0.526956,"JU1819",4.08805,-52.675667,"South America","LAC"
"25","NIC99","A",1e-05,0.527209,"NIC99",4.08747,-52.67394,"South America","LAC"
"26","QG3514","A",1e-05,0.528854,"QG3514",10.43089,-84.00684,"Central America","LAC"
"27","QG3024","A",1e-05,0.528958,"QG3024",9.1584,-79.84555,"Central America","LAC"
"28","NIC1433","A",1e-05,0.529044,"NIC1433",4.055725001,-52.67804501,"South America","LAC"
"29","NIC1376","A",1e-05,0.530536,"NIC1376",4.083392993,-52.68151998,"South America","LAC"
"30","NIC413","A",1e-05,0.531309,"NIC413",4.07244,-52.69034,"South America","LAC"
"31","NIC1950","A",1e-05,0.533632,"NIC1950",14.743477,-61.095204,"Caribbean","HC"
"32","NIC1419","A",1e-05,0.537925,"NIC1419",3.603130979,-53.19263603,"South America","LAC"
"33","NIC1290","A",0.083641,0.537994,"NIC1290",3.605792988,-53.17799502,"South America","LAC"
"34","NIC51","A",1e-05,0.545146,"NIC51",4.08729,-52.68139,"South America","LAC"
"35","QG4824","A",1e-05,0.547512,"QG4824",6.8569,158.2207,"Micronesia","Mic1"
"36","QG5654","A",1e-05,0.548285,"QG5654",6.8569,158.2207,"Micronesia","Mic1"
"37","QG4817","A",1e-05,0.549008,"QG4817",6.8569,158.2207,"Micronesia","Mic1"
"38","QG4702","A",1e-05,0.549369,"QG4702",6.8569,158.2207,"Micronesia","Mic1"
"39","NIC58","A",1e-05,0.549497,"NIC58",4.08731,-52.67866,"South America","LAC"
"40","NIC55","A",1e-05,0.549749,"NIC55",4.08225,-52.67965,"South America","LAC"
"41","NIC312","A",1e-05,0.55005,"NIC312",4.03892,-52.67656,"South America","LAC"
"42","QG3850","A",1e-05,0.550467,"QG3850",10.42972,-84.00718,"Central America","LAC"
"43","QG3877","A",1e-05,0.550536,"QG3877",10.43008,-84.00894,"Central America","LAC"
"44","NIC944","A",1e-05,0.55379,"NIC944",4.03799,-52.6772,"South America","LAC"
"45","NIC193","A",1e-05,0.55702,"NIC193",16.0207,-61.597,"Caribbean","LAC"
"46","NIC249","A",1e-05,0.557738,"NIC249",16.0207,-61.597,"Caribbean","LAC"
"47","NIC1328","A",1e-05,0.559202,"NIC1328",4.048613962,-52.676549,"South America","LAC"
"48","HPT39","A",1e-05,0.560002,"HPT39",-5.252764,119.865139,"Indonesia","Indo2"
"49","NIC469","A",1e-05,0.561465,"NIC469",4.0883,-52.67541,"South America","LAC"
"50","JU1849","A",1e-05,0.562689,"JU1849",4.086683,-52.68165,"South America","LAC"
"51","QG3790","A",1e-05,0.565502,"QG3790",10.42551667,-84.01403333,"Central America","LAC"
"52","NIC1257","A",1e-05,0.566298,"NIC1257",4.085349999,-52.68294297,"South America","LAC"
"53","NIC114","A",0.567483,0.567483,"NIC114",16.0435,-61.643,"Caribbean","LAC"
"54","NIC955","A",1e-05,0.568009,"NIC955",4.04973,-52.67652,"South America","LAC"
"55","NIC384","A",1e-05,0.571495,"NIC384",4.06126,-52.67946,"South America","LAC"
"56","HPT25","A",1e-05,0.571845,"HPT25",-8.5315,116.239193,"Indonesia","Indo2"
"57","NIC1651","A",1e-05,0.577614,"NIC1651",25.02814,121.74912,"Taiwan","Tw3"
"58","JU1835","A",1e-05,0.582776,"JU1835",4.085783,-52.6791,"South America","LAC"
"59","QG3821","A",1e-05,0.586685,"QG3821",10.42540556,-84.00121667,"Central America","LAC"
"60","NIC1477","A",1.4e-05,0.587166,"NIC1477",4.086242002,-52.67756699,"South America","LAC"
"61","QG3849","A",1e-05,0.587311,"QG3849",10.42551667,-84.01403333,"Central America","LAC"
"62","NIC894","A",1e-05,0.588108,"NIC894",22.01967,121.57357,"Taiwan","Tw4"
"63","NIC895","A",1e-05,0.588108,"NIC895",22.01967,121.57357,"Taiwan","Tw4"
"64","ECA794","A",1e-05,0.589988,"ECA794",22.053952,-159.367837,"Hawaii","HC"
"65","ECA790","A",1e-05,0.590475,"ECA790",22.053952,-159.367837,"Hawaii","HC"
"66","NIC898","A",1e-05,0.590538,"NIC898",22.01967,121.57357,"Taiwan","Tw4"
"67","NIC1341","A",1e-05,0.592025,"NIC1341",4.047429012,-52.67763203,"South America","LAC"
"68","NIC1592","A",1e-05,0.593621,"NIC1592",24.68622,121.13734,"Taiwan","Tw6"
"69","NIC1594","A",1e-05,0.593693,"NIC1594",24.68622,121.13734,"Taiwan","Tw6"
"70","NIC1555","A",1e-05,0.594281,"NIC1555",25.02132,121.73295,"Taiwan","Tw3"
"71","NIC57","A",1e-05,0.596463,"NIC57",4.08658,-52.67928,"South America","LAC"
"72","NIC925","A",1e-05,0.599052,"NIC925",4.03975,-52.67435,"South America","LAC"
"73","ECA806","A",1e-05,0.599705,"ECA806",20.813647,-156.118573,"Hawaii","Af"
"74","QG800","A",1e-05,0.6013,"QG800",9.158057,-79.834221,"Central America","LAC"
"75","NIC359","A",1e-05,0.605134,"NIC359",4.0911,-52.68536,"South America","LAC"
"76","JU1838","A",1e-05,0.607433,"JU1838",4.085517,-52.681917,"South America","LAC"
"77","NIC773","A",0.608259,0.608259,"NIC773",15.3456,-61.30918,"Caribbean","LAC"
"78","NIC2362","A",1e-05,0.611709,"NIC2362",4.038404971,-52.677023,"South America","LAC"
"79","NIC479","A",1.2e-05,0.612329,"NIC479",4.08631,-52.67243,"South America","LAC"
