"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","NIC2373","A",1e-05,0.280246,"NIC2373",4.042470027,-52.67842798,"South America"
"2","NIC1257","A",1e-05,0.333054,"NIC1257",4.085349999,-52.68294297,"South America"
"3","NIC1156","A",0.060701,0.337824,"NIC1156",-12.990649,-69.507455,"South America"
"4","NIC1157","A",0.056057,0.342072,"NIC1157",-12.990649,-69.507455,"South America"
"5","NIC479","A",1e-05,0.381306,"NIC479",4.08631,-52.67243,"South America"
"6","NIC933","A",1e-05,0.385421,"NIC933",4.04237,-52.68256,"South America"
"7","NIC350","A",1e-05,0.387042,"NIC350",4.0903,-52.6842,"South America"
"8","NIC1886","A",1e-05,0.390869,"NIC1886",14.705951,-61.092991,"Caribbean"
"9","NIC413","A",1e-05,0.398268,"NIC413",4.07244,-52.69034,"South America"
"10","NIC443","A",1e-05,0.398514,"NIC443",4.08447,-52.67858,"South America"
"11","QG3789","A",1e-05,0.40157,"QG3789",10.42608333,-84.0092,"Central America"
"12","JU1849","A",1e-05,0.404595,"JU1849",4.086683,-52.68165,"South America"
"13","NIC436","A",1e-05,0.40557,"NIC436",4.08678,-52.67515,"South America"
"14","NIC57","A",1e-05,0.411047,"NIC57",4.08658,-52.67928,"South America"
"15","JU2752","A",1e-05,0.416442,"JU2752",16.1761,-61.6951,"Caribbean"
"16","NIC424","A",1e-05,0.431724,"NIC424",5.41432,-53.65382,"South America"
"17","QG3818","A",1e-05,0.435586,"QG3818",10.4262,-84.0013167,"Central America"
"18","NIC363","A",1e-05,0.437843,"NIC363",4.95234,-52.49148,"South America"
"19","QG2896","A",1e-05,0.439976,"QG2896",-16.10295,145.44645,"Australia"
"20","QG2897","A",1e-05,0.440076,"QG2897",-16.10295,145.44645,"Australia"
"21","QG2904","A",1e-05,0.440185,"QG2904",-16.10365,145.447317,"Australia"
"22","QG2905","A",1e-05,0.440185,"QG2905",-16.10365,145.447317,"Australia"
"23","BRC20391","A",0.191456,0.44042,"BRC20391",25.016672,121.557423,"Taiwan"
"24","QG2898","A",1e-05,0.441522,"QG2898",-16.103617,145.4467,"Australia"
"25","QG2899","A",1e-05,0.441612,"QG2899",-16.103617,145.4467,"Australia"
"26","NIC1341","A",1e-05,0.446475,"NIC1341",4.047429012,-52.67763203,"South America"
"27","NIC51","A",1e-05,0.448038,"NIC51",4.08729,-52.68139,"South America"
"28","NIC2355","A",1e-05,0.448114,"NIC2355",4.041457996,-52.676275,"South America"
"29","NIC1563","A",0.18793,0.451529,"NIC1563",25.00481,121.73369,"Taiwan"
"30","NIC1337","A",1e-05,0.454801,"NIC1337",4.048613962,-52.676549,"South America"
"31","NIC1962","A",1e-05,0.461157,"NIC1962",14.744117,-61.093023,"Caribbean"
"32","QG942","A",1e-05,0.461997,"QG942",9.144538,-79.854772,"Central America"
"33","NIC1927","A",1e-05,0.466182,"NIC1927",14.719237,-61.100187,"Caribbean"
"34","NIC1411","A",1e-05,0.479402,"NIC1411",3.596770959,-53.17791598,"South America"
"35","NIC1355","A",1e-05,0.487338,"NIC1355",4.057417978,-52.67890298,"South America"
"36","NIC344","A",1e-05,0.490621,"NIC344",5.41063,-53.6564,"South America"
"37","QG3543","A",1e-05,0.490878,"QG3543",10.42641667,-84.01201667,"Central America"
"38","NIC934","A",1e-05,0.493858,"NIC934",4.04783,-52.67766,"South America"
"39","NIC1372","A",1e-05,0.495542,"NIC1372",4.081040025,-52.68228097,"South America"
"40","NIC2363","A",1e-05,0.500048,"NIC2363",4.037193032,-52.67742399,"South America"
"41","NIC365","A",1e-05,0.50241,"NIC365",4.03617,-52.67805,"South America"
"42","NIC773","A",1e-05,0.506337,"NIC773",15.3456,-61.30918,"Caribbean"
"43","JU1846","A",1e-05,0.513359,"JU1846",4.0911,-52.674633,"South America"
"44","NIC99","A",1e-05,0.517254,"NIC99",4.08747,-52.67394,"South America"
"45","QG3793","A",1e-05,0.522852,"QG3793",10.42583333,-84.00995,"Central America"
"46","NIC1881","A",1e-05,0.523926,"NIC1881",14.744609,-61.094657,"Caribbean"
"47","JU1819","A",1e-05,0.525491,"JU1819",4.08805,-52.675667,"South America"
"48","NIC1290","A",1e-05,0.529134,"NIC1290",3.605792988,-53.17799502,"South America"
"49","QG4870","A",1.1e-05,0.531571,"QG4870",6.9204,158.2633,"Micronesia"
"50","QG4871","A",1e-05,0.531572,"QG4871",6.9204,158.2633,"Micronesia"
"51","QG4892","A",1e-05,0.531851,"QG4892",6.9204,158.2633,"Micronesia"
"52","QG4740","A",1e-05,0.531867,"QG4740",6.9204,158.2633,"Micronesia"
"53","NIC986","A",1e-05,0.532447,"NIC986",4.03726,-52.67243,"South America"
"54","NIC417","A",1e-05,0.534521,"NIC417",4.07829,-52.68732,"South America"
"55","QG3808","A",1e-05,0.536692,"QG3808",10.43288,-84.00678,"Central America"
"56","JU1845","A",1e-05,0.537315,"JU1845",4.089583,-52.67705,"South America"
"57","NIC1950","A",1e-05,0.541268,"NIC1950",14.743477,-61.095204,"Caribbean"
"58","NIC939","A",1e-05,0.541669,"NIC939",4.03128,-52.68028,"South America"
"59","NIC1433","A",1e-05,0.542305,"NIC1433",4.055725001,-52.67804501,"South America"
