strain	geo	staterf_mmann	tair_ann	tsurf_ann	sl_mst_ann	lai_ann	elevation	latitude	longitude	substrate_temp	ambient_temp	ambient_humidity
ECA1299	Hawaii	3547.40258789062	19.5992088317871	23.4146327972412	0.676614761352539	4.2586464881897	487.082183837891	21.34198	-157.8095	24	21.9	NA
ECA1300	Hawaii	3440.91918945312	19.2012424468994	19.2178573608398	0.671062529087067	2.92773389816284	488.729248046875	21.34202	-157.8096	24	22.2	NA
ECA1301	Hawaii	3440.91918945312	19.2012424468994	19.2178573608398	0.671062529087067	2.92773389816284	488.729248046875	21.34202	-157.8096	24	22.2	NA
ECA1302	Hawaii	3440.91918945312	19.2012424468994	19.2178573608398	0.671062529087067	2.92773389816284	488.729248046875	21.34202	-157.8096	24	22.2	NA
ECA1303	Hawaii	3440.91918945312	19.2012424468994	19.2178573608398	0.671062529087067	2.92773389816284	488.729248046875	21.34202	-157.8096	24	22.2	NA
ECA1304	Hawaii	3440.91918945312	19.2012424468994	19.2178573608398	0.671062529087067	2.92773389816284	488.729248046875	21.34202	-157.8096	24	22.2	NA
ECA1305	Hawaii	2930.18310546875	20.0028858184814	20.0195217132568	0.64168643951416	2.56571340560913	384.664428710938	21.34091	-157.822	23.3	22.3	NA
ECA1306	Hawaii	2805.77465820312	21.2413539886475	21.2579860687256	0.633675992488861	3.72496724128723	241.041259765625	21.34293	-157.8239	24	23.2	NA
ECA1307	Hawaii	3547.40258789062	19.5992088317871	23.4146327972412	0.676614761352539	4.2586464881897	487.082183837891	21.34198	-157.8095	24	21.9	NA
ECA1309	Hawaii	2805.77465820312	21.2413539886475	21.2579860687256	0.633675992488861	3.72496724128723	241.041259765625	21.34293	-157.8239	24	23.2	NA
ECA1310	Hawaii	2805.77465820312	21.2413539886475	21.2579860687256	0.633675992488861	3.72496724128723	241.041259765625	21.34293	-157.8239	24	23.2	NA
ECA1311	Hawaii	2527.66040039062	19.0665245056152	19.0831413269043	0.603735208511353	4.38841152191162	635.865295410156	20.04062	-155.4413	23.3	21.4	63
ECA1312	Hawaii	2527.66040039062	19.0665245056152	19.0831413269043	0.603735208511353	4.38841152191162	635.865295410156	20.04062	-155.4413	23.3	21.4	63
ECA1313	Hawaii	2527.66040039062	19.0665245056152	19.0831413269043	0.603735208511353	4.38841152191162	635.865295410156	20.04062	-155.4413	23.3	21.4	63
ECA1401	Hawaii	2921.55249023438	20.8112888336182	20.8278656005859	0.641119599342346	2.91944694519043	333.370208740234	21.342699	-157.821547	24	26.1	80.1
ECA1403	Hawaii	2921.55249023438	20.8112888336182	20.8278656005859	0.641119599342346	2.91944694519043	333.370208740234	21.342699	-157.821547	24	26.1	80.1
ECA1405	Hawaii	2921.55249023438	20.8112888336182	20.8278656005859	0.641119599342346	2.91944694519043	333.370208740234	21.342699	-157.821547	24	26.1	80.1
ECA1445	Hawaii	5656.2392578125	20.2833404541016	24.098705291748	1	3.84692049026489	345.482940673828	19.8552394	-155.1527495	24.4	26.3	79
ECA1447	Hawaii	5656.2392578125	20.2833404541016	24.098705291748	1	3.84692049026489	345.482940673828	19.8552394	-155.1527495	24.4	26.3	79
ECA1449	Hawaii	5656.2392578125	20.2833404541016	24.098705291748	1	3.84692049026489	345.482940673828	19.8552394	-155.1527495	24.4	26.3	79
ECA1451	Hawaii	5656.2392578125	20.2833404541016	24.098705291748	1	3.84692049026489	345.482940673828	19.8552394	-155.1527495	24.4	26.3	79
ECA1453	Hawaii	5749.7275390625	19.7511081695557	19.767749786377	0.763412892818451	3.35944199562073	362.331878662109	19.854497	-155.15326	24.4	26.3	79
ECA1481	Hawaii	1862.82385253906	21.600170135498	21.6167678833008	0.558106124401093	3.97608780860901	236.573303222656	21.39448889	-157.9002278	23	23.3	86
ECA1518	Hawaii	2211.84423828125	21.196756362915	21.2133884429932	0.589388430118561	4.69027757644653	332.434143066406	21.39774444	-157.8914889	20.9	23.1	74.4
ECA1579	Hawaii	2011.6591796875	20.897159576416	20.9137916564941	0.572939515113831	2.98236036300659	322.71728515625	21.317253	-157.81937	20.9	22.2	77
ECA1581	Hawaii	2011.6591796875	20.897159576416	20.9137916564941	0.572939515113831	2.98236036300659	322.71728515625	21.317253	-157.81937	20.9	22.2	77
ECA1583	Hawaii	2011.6591796875	20.897159576416	20.9137916564941	0.572939515113831	2.98236036300659	322.71728515625	21.317253	-157.81937	20.9	22.2	77
ECA1585	Hawaii	2011.6591796875	20.897159576416	20.9137916564941	0.572939515113831	2.98236036300659	322.71728515625	21.317253	-157.81937	20.9	22.2	77
ECA1599	Hawaii	1862.82385253906	21.600170135498	21.6167678833008	0.558106124401093	3.97608780860901	236.573303222656	21.394489	-157.90023	23	23.3	86
ECA1603	Hawaii	1862.82385253906	21.600170135498	21.6167678833008	0.558106124401093	3.97608780860901	258.08056640625	21.39578611	-157.9005111	22	22.7	90
ECA2087	Hawaii	1862.82385253906	21.600170135498	21.6167678833008	0.558106124401093	3.97608780860901	236.573303222656	21.394489	-157.90023	23	23.3	86
ECA2898	Hawaii	1803.97277832031	22.9667434692383	24.3111934661865	0.557622015476227	3.97776937484741	63.4140167236328	21.355658	-157.7645652	25.2	27.9	74.2
ECA2899	Hawaii	1803.97277832031	22.9667434692383	24.3111934661865	0.557622015476227	3.97776937484741	63.4140167236328	21.355658	-157.7645652	25.2	27.9	74.2
ECA2900	Hawaii	1803.97277832031	22.9667434692383	24.3111934661865	0.557622015476227	3.97776937484741	63.4140167236328	21.355658	-157.7645652	25.2	27.9	74.2
ECA2910	Hawaii	1803.97277832031	22.9667434692383	24.3111934661865	0.557622015476227	3.97776937484741	63.4140167236328	21.355658	-157.7645652	25.2	27.9	74.2
ECA2920	Hawaii	1803.97277832031	22.9667434692383	24.3111934661865	0.557622015476227	3.97776937484741	63.4140167236328	21.355658	-157.7645652	25.2	27.9	74.2
