N	eigenvalue	difference	twstat	p-value	effect.n
1	21.210998	NA	1.462	0.0246824	5.631
2	12.584456	-8.626542	1.825	0.0138896	6.447
3	7.372709	-5.211747	2.046	0.009625	7.784
4	4.039407	-3.333302	0.607	0.082161	9.425
5	3.569257	-0.470150	2.631	0.00342158	9.531
6	2.447448	-1.121810	4.686	4.76527e-05	12.423
7	0.894215	-1.553233	-0.683	0.324372	22.150
8	0.758423	-0.135792	-1.195	0.47681	22.025
9	0.637388	-0.121035	-1.951	0.711693	21.541
10	0.596289	-0.041099	-1.549	0.589396	20.572
11	0.524854	-0.071435	-1.739	0.648587	19.813
12	0.470960	-0.053894	-1.720	0.642896	18.913
13	0.407315	-0.063645	-2.074	0.746099	17.993
14	0.366439	-0.040876	-2.060	0.742284	16.840
15	0.353640	-0.012799	-1.255	0.495741	15.660
16	0.298861	-0.054779	-1.505	0.57538	14.936
17	0.282855	-0.016006	-0.620	0.307286	14.014
18	0.233480	-0.049375	-0.639	0.312429	13.758
19	0.171807	-0.061673	-1.755	0.653599	13.490
20	0.145643	-0.026163	-1.980	0.719986	12.330
21	0.141096	-0.004547	-1.082	0.441527	11.000
22	0.124429	-0.016667	-0.444	0.262533	10.217
23	0.117595	-0.006834	1.674	0.0177179	10.047
24	0.055136	-0.062459	0.697	0.0732056	16.969
25	0.034803	-0.020333	-0.965	0.405756	20.098
26	0.031602	-0.003201	-0.190	0.205111	19.943
27	0.029468	-0.002133	1.688	0.0173443	21.423
28	0.015604	-0.013864	-1.039	0.428014	33.001
29	0.014358	-0.001246	-0.268	0.221666	33.826
30	0.010577	-0.003780	-1.677	0.629399	37.721
31	0.010030	-0.000547	-0.904	0.387383	37.006
32	0.008350	-0.001679	-1.182	0.472468	39.029
33	0.006676	-0.001675	-2.031	0.734468	40.112
34	0.006437	-0.000239	-1.232	0.4883	37.739
35	0.005046	-0.001391	-2.109	0.755618	38.464
36	0.005015	-0.000031	NA	NA	NA
37	0.004045	-0.000970	NA	NA	NA
38	0.002874	-0.001171	NA	NA	NA
39	0.002685	-0.000189	NA	NA	NA
40	0.002620	-0.000065	NA	NA	NA
41	0.002455	-0.000164	NA	NA	NA
42	0.001538	-0.000917	NA	NA	NA
43	0.000818	-0.000720	NA	NA	NA
44	0.000298	-0.000520	NA	NA	NA
