N	eigenvalue	difference	twstat	p-value	effect.n
1	29.535716	NA	85.446	9.63679e-231	112.555
2	22.682342	-6.853375	73.825	1.06755e-185	132.804
3	18.265217	-4.417124	61.799	1.10648e-142	148.540
4	14.188525	-4.076692	42.453	4.54593e-82	160.426
5	13.679709	-0.508816	44.529	5.09466e-88	167.121
6	12.039978	-1.639730	36.698	2.46606e-66	174.495
7	11.920454	-0.119524	40.494	1.37945e-76	180.144
8	11.346433	-0.574021	40.409	2.37424e-76	186.816
9	11.130301	-0.216132	43.594	2.5271e-85	193.618
10	10.508236	-0.622065	42.733	7.2852e-83	201.399
11	10.432160	-0.076076	47.509	8.3114e-97	209.135
12	10.322412	-0.109748	52.655	1.24101e-112	218.391
13	9.695660	-0.626752	51.919	2.56035e-110	229.464
14	9.363988	-0.331672	54.409	3.2952e-118	240.604
15	9.206395	-0.157594	59.542	4.8261e-135	252.876
16	8.568353	-0.638042	57.852	2.03694e-129	267.330
17	8.557404	-0.010949	65.482	1.89532e-155	281.592
18	7.910855	-0.646549	63.094	3.93949e-147	299.301
19	7.604206	-0.306649	65.651	4.82614e-156	316.593
20	7.274627	-0.329579	67.651	3.86305e-163	335.533
21	6.828193	-0.446434	66.767	5.4769e-160	355.999
22	6.723647	-0.104546	72.880	3.51942e-182	376.747
23	6.555409	-0.168238	78.330	9.07572e-203	401.191
24	6.043228	-0.512181	75.033	3.17029e-190	429.454
25	5.590756	-0.452472	71.380	1.20397e-176	456.961
26	4.564589	-1.026168	47.988	3.03713e-98	483.461
27	4.333083	-0.231506	45.045	1.60312e-89	499.430
28	4.168509	-0.164574	43.664	1.59853e-85	514.542
29	3.917332	-0.251177	38.893	3.35333e-72	529.428
30	3.873135	-0.044197	40.699	3.73295e-77	542.687
31	3.690990	-0.182145	37.539	1.46147e-68	556.969
32	3.638824	-0.052166	38.765	7.44439e-72	570.251
33	3.430355	-0.208469	33.936	3.37415e-59	584.316
34	3.178862	-0.251493	26.704	6.89261e-42	596.682
35	3.035311	-0.143551	23.073	5.24734e-34	606.492
36	2.980867	-0.054445	22.779	2.14837e-33	615.150
37	2.944915	-0.035952	23.204	2.79739e-34	623.836
38	2.747452	-0.197463	16.632	1.60693e-21	632.808
39	2.654912	-0.092540	14.130	3.04042e-17	639.632
40	2.576600	-0.078312	12.067	5.5259e-14	645.728
41	2.537079	-0.039521	11.604	2.74482e-13	651.244
42	2.477139	-0.059939	10.159	3.33699e-11	656.680
43	2.346890	-0.130249	5.348	9.92212e-06	661.730
44	2.320614	-0.026277	5.137	1.65138e-05	665.407
45	2.284473	-0.036141	4.437	8.39238e-05	669.061
46	2.260837	-0.023636	4.292	0.000116342	672.551
47	2.248523	-0.012315	4.676	4.87843e-05	676.034
48	2.206580	-0.041943	3.623	0.000490039	679.660
49	2.159862	-0.046717	2.273	0.00651141	683.019
50	2.128886	-0.030976	1.635	0.0188589	686.027
51	2.117676	-0.011210	1.952	0.0112635	688.885
52	2.095875	-0.021801	1.740	0.015955	691.857
53	2.079168	-0.016707	1.770	0.0151916	694.796
54	2.054253	-0.024915	1.371	0.0283532	697.770
55	1.961223	-0.093029	-2.599	0.86823	700.657
56	1.945577	-0.015646	-2.681	0.883049	702.483
57	1.931617	-0.013961	-2.681	0.883174	704.302
58	1.917763	-0.013854	-2.681	0.883211	706.135
59	1.914019	-0.003744	-2.145	0.765151	707.982
60	1.910065	-0.003954	-1.604	0.606762	709.988
61	1.899037	-0.011028	-1.432	0.552243	712.158
62	1.873639	-0.025397	-2.048	0.738966	714.394
63	1.865265	-0.008375	-1.752	0.652763	716.478
64	1.844481	-0.020784	-2.142	0.764381	718.660
65	1.826036	-0.018444	-2.422	0.831943	720.751
66	1.817623	-0.008413	-2.150	0.76653	722.781
67	1.814989	-0.002634	-1.544	0.587865	724.904
68	1.789421	-0.025568	-2.237	0.788619	727.216
69	1.771023	-0.018398	-2.548	0.858254	729.349
70	1.750731	-0.020291	-2.987	0.928737	731.411
71	1.733031	-0.017700	-3.295	0.960112	733.364
72	1.715879	-0.017153	-3.589	0.978799	735.246
73	1.706406	-0.009473	-3.441	0.97053	737.058
74	1.689390	-0.017016	-3.744	0.985345	738.927
75	1.688111	-0.001279	-3.113	0.94329	740.724
76	1.664465	-0.023646	-3.825	0.988007	742.716
77	1.653563	-0.010902	-3.787	0.986805	744.519
78	1.647925	-0.005638	-3.427	0.969663	746.346
79	1.635730	-0.012195	-3.466	0.972123	748.292
80	1.628722	-0.007009	-3.187	0.950648	750.242
81	1.616362	-0.012359	-3.240	0.955439	752.290
82	1.594425	-0.021937	-3.908	0.990323	754.338
83	1.581570	-0.012855	-4.025	0.992939	756.203
84	1.571203	-0.010367	-3.991	0.992254	758.048
85	1.567181	-0.004022	-3.549	0.976805	759.917
86	1.522244	-0.044937	-5.769	0.999991	761.934
87	1.510756	-0.011487	-5.874	0.999995	763.306
88	1.496379	-0.014377	-6.177	0.999999	764.657
89	1.489410	-0.006970	-6.002	0.999997	765.929
90	1.479880	-0.009530	-5.996	0.999997	767.261
91	1.477199	-0.002681	-5.531	0.999972	768.605
92	1.469134	-0.008065	-5.420	0.999953	770.096
93	1.467121	-0.002013	-4.895	0.999583	771.632
94	1.450566	-0.016554	-5.355	0.999937	773.339
95	1.439934	-0.010633	-5.427	0.999954	774.918
96	1.424685	-0.015248	-5.827	0.999993	776.486
97	1.422031	-0.002655	-5.361	0.999938	777.943
98	1.390650	-0.031380	-6.911	1	779.555
99	1.386458	-0.004192	-6.588	1	780.703
100	1.382738	-0.003721	-6.224	0.999999	781.957
101	1.362881	-0.019856	-7.011	1	783.331
102	1.353812	-0.009069	-7.048	1	784.474
103	1.345398	-0.008414	-7.042	1	785.612
