samples	cluster	strain	lat	long	geo	Lineage
NIC1877	A	NIC1877	14.744997	-61.092154	Caribbean	LAC
NIC1911	A	NIC1911	14.804986	-61.146231	Caribbean	LAC
NIC1941	A	NIC1941	14.80577	-61.147328	Caribbean	LAC
NIC1000	AA	NIC1000	4.0391	-52.6675	South America	LAC
NIC1293	AA	NIC1293	3.644524002	-53.19812902	South America	LAC
NIC1301	AA	NIC1301	3.620189996	-53.20809804	South America	LAC
NIC1305	AA	NIC1305	3.614802025	-53.19812601	South America	LAC
NIC1337	AA	NIC1337	4.048613962	-52.676549	South America	LAC
NIC350	AA	NIC350	4.0903	-52.6842	South America	LAC
NIC959	AA	NIC959	4.03201	-52.68039	South America	LAC
NIC980	AA	NIC980	4.03822	-52.67031	South America	LAC
NIC927	AA	NIC927	4.04213	-52.68083	South America	LAC
NIC2364	AA	NIC2364	4.035310037	-52.67778299	South America	LAC
NIC948	AA	NIC948	4.03711	-52.67206	South America	LAC
NIC387	AA	NIC387	4.03671	-52.67728	South America	LAC
NIC909	AA	NIC909	4.03955	-52.67374	South America	LAC
NIC422	AA	NIC422	4.03943	-52.67587	South America	LAC
QG2896	AB	QG2896	-16.10295	145.44645	Australia	Au
QG2897	AB	QG2897	-16.10295	145.44645	Australia	Au
QG2898	AB	QG2898	-16.103617	145.4467	Australia	Au
QG2899	AB	QG2899	-16.103617	145.4467	Australia	Au
QG2904	AB	QG2904	-16.10365	145.447317	Australia	Au
QG2905	AB	QG2905	-16.10365	145.447317	Australia	Au
ECA1300	B	ECA1300	21.34202	-157.8096	Hawaii	Hw3
ECA1301	B	ECA1301	21.34202	-157.8096	Hawaii	Hw3
ECA1305	B	ECA1305	21.34091	-157.822	Hawaii	Hw3
ECA1307	B	ECA1307	21.34198	-157.8095	Hawaii	Hw3
ECA1405	B	ECA1405	21.342699	-157.821547	Hawaii	Hw3
ECA1401	B	ECA1401	21.342699	-157.821547	Hawaii	Hw3
ECA1303	B	ECA1303	21.34202	-157.8096	Hawaii	Hw3
ECA1302	B	ECA1302	21.34202	-157.8096	Hawaii	Hw3
ECA1304	B	ECA1304	21.34202	-157.8096	Hawaii	Hw3
ECA788	B	ECA788	21.362625	-157.779914	Hawaii	Hw3
ECA1299	B	ECA1299	21.34198	-157.8095	Hawaii	Hw3
ECA1403	B	ECA1403	21.342699	-157.821547	Hawaii	Hw3
ECA789	B	ECA789	21.336056	-157.799786	Hawaii	Hw3
QG3547	C	QG3547	10.42551667	-84.01403333	Central America	LAC
QG3871	C	QG3871	10.44027	-84.01227	Central America	LAC
QG823	C	QG823	9.152413	-79.850852	Central America	LAC
QG840	C	QG840	9.161421	-79.837195	Central America	LAC
QG853	C	QG853	9.159372	-79.835975	Central America	LAC
ECA1311	D	ECA1311	20.04062	-155.4413	Hawaii	HC
ECA1312	D	ECA1312	20.04062	-155.4413	Hawaii	HC
ECA1313	D	ECA1313	20.04062	-155.4413	Hawaii	HC
ECA797	D	ECA797	19.590717	-155.067906	Hawaii	HC
NIC1916	D	NIC1916	14.67639	-61.090457	Caribbean	HC
NIC1918	D	NIC1918	14.676352	-61.090455	Caribbean	HC
NIC1919	D	NIC1919	14.676352	-61.090455	Caribbean	HC
NIC570	D	NIC570	15.47461	-61.29876	Caribbean	HC
NIC747	D	NIC747	15.31566	-61.2969	Caribbean	HC
NIC567	D	NIC567	15.37806	-61.33964	Caribbean	HC
NIC584	D	NIC584	15.40368	-61.34699	Caribbean	HC
ECA798	D	ECA798	19.906725	-155.141275	Hawaii	HC
NIC1915	D	NIC1915	14.67639	-61.090457	Caribbean	HC
ECA2909	E	ECA2909	19.11058638	-155.8263837	Hawaii	HC
ECA796	E	ECA796	19.905167	-155.139322	Hawaii	HC
ECA2954	E	ECA2954	22.0638967	-159.3522759	Hawaii	HC
ECA2955	E	ECA2955	22.0638967	-159.3522759	Hawaii	HC
