,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,9.115903821370183e-06,6.2898676781085375e-06,1.9031477276927165,342311.5,7846
1,I,left_arm,9.757813314978972e-06,6.794827162286586e-06,2.0246238811264865,2634575.0,51185
2,I,center,6.6646521943766534e-06,4.410482109309315e-06,2.3605607288539265,6950143.0,48864
3,I,right_arm,1.9745202048599675e-05,1.371139694890471e-05,2.0480061290413816,10416045.0,52289
4,I,right_tip,7.798338367122143e-06,5.484268309558457e-06,1.7872862204650568,11908841.5,9410
5,I,full,1.0192201930176014e-05,7.002070456726188e-06,2.14453425069581,6150676.0,169595
6,II,left_tip,4.63111423942878e-06,3.162934128773303e-06,1.9096719959408273,523541.5,13941
7,II,left_arm,2.3858786576673035e-05,1.6277900864736463e-05,2.161758987302838,1851548.5,33935
8,II,center,4.66828362293994e-06,3.202015575367358e-06,2.1201851560680343,6276110.0,93719
9,II,right_arm,1.9464776365280066e-05,1.264752203145885e-05,2.4993784837077913,10879442.0,46886
10,II,right_tip,1.9068491208586726e-05,1.3932400774970981e-05,1.6739874907249932,12304434.5,27984
11,II,full,1.0362345253259741e-05,7.045958525005769e-06,2.2160775871799654,6373095.5,216465
12,III,left_tip,6.301434490571118e-06,4.515379093759412e-06,1.5795511902340562,293658.5,7875
13,III,left_arm,2.5136355487706012e-05,1.8593471421738485e-05,1.6447406483988745,1667978.5,65110
14,III,center,6.768699859479588e-06,4.620831800328992e-06,2.157611073567362,5579504.0,52211
15,III,right_arm,1.4330770634543216e-05,9.86380009028244e-06,2.098074161272694,9620239.5,45625
16,III,right_tip,1.5526820888420183e-05,1.0594781635578394e-05,2.10637863518406,11361683.5,13027
17,III,full,1.2398081817064502e-05,8.750313304269771e-06,1.9643402361281002,5946628.0,183848
18,IV,left_tip,8.420227801654534e-06,5.542942697316126e-06,2.1355615796383836,298744.5,10058
19,IV,left_arm,8.926398865534716e-06,6.179995481150376e-06,2.0462630770481622,2098158.0,39410
20,IV,center,6.878772006617615e-06,4.836446852186059e-06,1.967688627367976,6954489.0,117722
21,IV,right_arm,3.35490123594949e-05,2.3316075555089913e-05,2.0626503720028535,11789977.5,68725
22,IV,right_tip,1.0563329705304988e-05,7.602533535887858e-06,1.6814949854050751,13618472.5,18335
23,IV,full,1.32129942733979e-05,9.204377009929562e-06,2.0541800514401767,6983570.5,254250
24,V,left_tip,7.808356328976316e-05,5.040637990405663e-05,2.521479985453339,167883.0,10810
25,V,left_arm,2.6311538166902504e-05,1.8603859524247093e-05,1.9486537169021731,2396143.5,160206
26,V,center,8.477048374171754e-06,6.0858588490363535e-06,1.8391156015715575,8157570.5,154181
27,V,right_arm,6.792793646135334e-05,4.5952979867636144e-05,2.256161635666902,13361932.5,148273
28,V,right_tip,7.120043035574405e-06,4.862809671983105e-06,1.8164856423626008,15103638.5,4536
29,V,full,2.6355789472306092e-05,1.8163763912002542e-05,2.1320525246045547,7671016.0,478006
30,X,left_tip,1.2813007912553448e-05,8.239314279681801e-06,2.528379326263861,805194.0,17260
31,X,left_arm,7.560021884775997e-06,5.321221317477323e-06,1.9297107062311947,3135610.5,78115
32,X,center,7.248726941097523e-06,4.969118313441678e-06,2.1294462272153627,7293197.0,78482
33,X,right_arm,6.9406308256716095e-06,4.85746862059927e-06,1.97995659140617,12039194.5,83395
34,X,right_tip,1.768224647973103e-05,1.1844305866637416e-05,2.2782064321647604,15062417.5,31302
35,X,full,8.974503686582805e-06,6.118667868063878e-06,2.198598750342442,7986003.5,288554
