,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0005023730881291276,0.0004944066904252007,0.06190602718707941,342311.5,1417
1,I,left_arm,0.0006163921302250424,0.000633092734883556,-0.10156000957643184,2634575.0,11041
2,I,center,0.0006076168377875644,0.0008769640048750567,-1.18265733716955,6950143.0,17146
3,I,right_arm,0.001793592080969022,0.002053109152703765,-0.4867182028109847,10416045.0,18157
4,I,right_tip,0.00048367415039352746,0.0006295151307475634,-0.8907878607469667,11908841.5,2352
5,I,full,0.0007952450793036109,0.0009643122086052821,-0.6751771709377101,6150676.0,50114
6,II,left_tip,0.00045359535264450073,0.0004978665941376105,-0.341928363825918,523541.5,2304
7,II,left_arm,0.001449838539776491,0.0012646893508387763,0.5635804801497062,1851548.5,8651
8,II,center,0.000625770754256098,0.0007535450832630142,-0.6529514323192646,6276110.0,22069
9,II,right_arm,0.0019512092180847683,0.0016082538721843085,0.821056134053399,10879442.0,12633
10,II,right_tip,0.0017323073619074515,0.002639831002900143,-1.3235725675002694,12304434.5,9713
11,II,full,0.0009723146184107038,0.0010476719918892832,-0.27700047810223727,6373095.5,55370
12,III,left_tip,0.00025342365980422,0.00033162307036986534,-0.9046663969484707,293658.5,887
13,III,left_arm,0.001172591802264396,0.0012484237187536213,-0.2338571982572053,1667978.5,11227
14,III,center,0.00029889292363399636,0.0003643038768961609,-0.6912519257284342,5579504.0,8491
15,III,right_arm,0.00113996500359432,0.0012813557420530588,-0.42484657425993727,9620239.5,12093
16,III,right_tip,0.00044590821403018785,0.0004820841199749094,-0.28854072819037696,11361683.5,2166
17,III,full,0.0006048888166882927,0.0006840338793096875,-0.4455626824873086,5946628.0,34864
18,IV,left_tip,0.0034126429889545355,0.0021507014173754455,2.2584731786025047,298744.5,5010
19,IV,left_arm,0.0006230601240654861,0.0005733183540421177,0.33398580395256233,2098158.0,7054
20,IV,center,0.0009408451637226569,0.0007264354377912723,1.1365475903427702,6954489.0,19479
21,IV,right_arm,0.0011154704772947442,0.001315289277457875,-0.5849554632125958,11789977.5,17018
22,IV,right_tip,0.0021602876054790505,0.0026104938254199444,-0.6639110975399845,13618472.5,6898
23,IV,full,0.001079919936772718,0.0009637670651227156,0.4641284256889934,6983570.5,55459
24,V,left_tip,0.0029417963312463867,0.005611012946833237,-1.831346070391279,167883.0,7599
25,V,left_arm,0.0021822413469972653,0.003126313452067473,-1.1629261387757288,2396143.5,50415
26,V,center,0.0014830635984448507,0.0014845008682520492,-0.0037285043674991658,8157570.5,43829
27,V,right_arm,0.0043119929510700315,0.0037822873253692255,0.5393285771511431,13361932.5,43342
28,V,right_tip,0.00028029971546075083,0.0003128589106474171,-0.3988587218117006,15103638.5,600
29,V,full,0.0021608302642302296,0.002376020985891057,-0.3487944772079561,7671016.0,145785
30,X,left_tip,0.0005195468912901339,0.0004074588876151958,1.0581063248911238,805194.0,2825
31,X,left_arm,0.0018067710003977673,0.0030565301646186187,-1.5745962123318336,3135610.5,37180
32,X,center,0.000624006158686995,0.0009069728959485257,-1.2013845243952037,7293197.0,19373
33,X,right_arm,0.0010896483619793561,0.0016850061294110263,-1.3606252106814694,12039194.5,29022
34,X,right_tip,0.0011374536628973942,0.0012570182940469285,-0.36619809815924,15062417.5,9779
35,X,full,0.0010237871420389494,0.0015261558581738742,-1.2676985175568625,7986003.5,98179
