Region	Autosomes arm	Autosomes center	ChromX arm	ChromX center	fold change Autosomes arm/center	fold change ChromX arm/center	Stat
All	0.0037	0.0016	0.0020	0.0007	2.25	2.83	pi
Africa	0.0021	0.0009	0.0015	0.0007	2.3	2.24	pi
Caribbean	0.0028	0.0011	0.0004	0.0002	2.58	2.71	pi
Central America	0.0019	0.0010	0.0005	0.00004	2.04	9.21	pi
Hawaii	0.0050	0.0028	0.0043	0.0024	1.82	1.8	pi
Micronesia	0.0031	0.0011	0.0010	0.0003	2.69	3.66	pi
South America	0.0013	0.0008	0.0006	0.0001	1.62	5.04	pi
Taiwan	0.0036	0.0012	0.0013	0.0005	2.93	2.64	pi
All	0.0045	0.0022	0.0033	0.0021	2.03	1.56	theta
Africa	0.0025	0.0012	0.0025	0.0010	2.17	2.56	theta
Caribbean	0.0021	0.0008	0.0007	0.0002	2.42	2.96	theta
Central America	0.0016	0.0006	0.0004	0.0002	2.48	2.22	theta
Hawaii	0.0033	0.0017	0.0029	0.0015	2.01	2.01	theta
Micronesia	0.0023	0.0007	0.0007	0.0002	3.23	3.44	theta
South America	0.0018	0.0009	0.0019	0.0009	1.92	2.01	theta
Taiwan	0.0033	0.0016	0.0020	0.0013	2.12	1.61	theta
All	-0.7683	-0.9657	-1.0896	-1.4608	-	-	Tajima's D
Africa	-0.3301	-0.4877	-0.6955	-0.4241	-	-	Tajima's D
Caribbean	0.1484	-0.1112	-0.5724	-0.6563	-	-	Tajima's D
Central America	-0.4764	-0.6368	-1.0360	-1.5096	-	-	Tajima's D
Hawaii	0.8302	1.0041	1.0946	1.1369	-	-	Tajima's D
Micronesia	0.7129	0.7202	0.6335	0.5064	-	-	Tajima's D
South America	-1.0914	-1.2332	-1.8294	-2.0748	-	-	Tajima's D
Taiwan	-0.1910	-0.6916	-0.6675	-1.0429	-	-	Tajima's D
