lineage	mean_var_prop	mean_var_prop_sd	min_var_prop	max_var_prop	mean_span_prop	mean_span_prop_sd	min_span_prop	max_span_prop
Af	0.775241854211011	0.00407797569436184	0.767410285624704	0.783469599795464	0.141462287666736	0.00410286601615913	0.132379226906288	0.149840104084337
Au	0.741069050827679	0.00439297264519078	0.732112410048353	0.743283874484685	0.0931733158238186	0.00252772143475255	0.0881920210114177	0.0953052613659853
HC	0.709642643052212	0.0135787055072908	0.679601880075389	0.732623905670094	0.0813094615650518	0.00764230917135082	0.0638975693388942	0.0936759037463066
Hw1	0.720847163887175	0.00471824505608122	0.706604668918238	0.727776291991714	0.0838199290209104	0.00336037466051546	0.0741722498510475	0.0883379336340755
Hw2	0.770541225281228	0.00113611235769648	0.768668205139148	0.771620449577036	0.133779988083802	0.00056592762415943	0.133120949404798	0.134336887926946
Hw3	0.851137499523619	0.00201533616034785	0.845148156525673	0.852821481498545	0.210972816291331	0.00261911548109775	0.203414355370192	0.213470166948359
Indo1	0.667357432962022	NA	0.667357432962022	0.667357432962022	0.0626816308167459	NA	0.0626816308167459	0.0626816308167459
Indo2	0.693006551003108	0.00109541672681857	0.69223197440735	0.693781127598867	0.0751085225131017	0.00340480156308742	0.0727009642392481	0.0775160807869554
Indo3	0.778521619391638	NA	0.778521619391638	0.778521619391638	0.137948225337727	NA	0.137948225337727	0.137948225337727
LAC	0.717025299014972	0.0916241044853528	0.00216763005780347	0.860938721095941	0.0316633777325332	0.0127067840193074	0.00260210843739741	0.0736980338274097
Mic1	0.697801077362095	0.0145234725856483	0.659362277190461	0.714661198082144	0.0722355029729697	0.0105527367419427	0.0409041718850695	0.0842523801996571
Mic2	0.721637265993636	0.0194005350010683	0.667323835005847	0.743801800275525	0.0786386131226296	0.00774768299028319	0.0563709098867961	0.0871463138823701
Tw1	0.672247555890871	0.00212868572311888	0.667362365295602	0.674242381014876	0.0731608100803514	0.00187626696280548	0.0707311438333678	0.0769081115258813
Tw2	0.708129722103738	0.00186613436138405	0.705581636233022	0.710069738850263	0.0769871475298209	0.00289063650883753	0.0742695249328194	0.0810666212716285
Tw3	0.713111759552805	0.0110706411193892	0.680181526834402	0.726696596261814	0.0747009869890656	0.00288735412523018	0.0687978015831519	0.0804100144696684
Tw4	0.701452460272781	0.00155766542315486	0.700447039023877	0.703246746545301	0.0767662520316306	0.00133073532537337	0.0755097822254107	0.078160528203694
Tw5	0.686631884475283	0.0104371484580094	0.679251706024374	0.694012062926192	0.0742573655475979	0.00429899187258514	0.0712175192422271	0.0772972118529687
Tw6	0.732376836605829	0.000410646859934534	0.732086465426496	0.732667207785161	0.0862708381464233	0.00094577821196873	0.0856020719592417	0.0869396043336049
Tw7	0.847230751086837	NA	0.847230751086837	0.847230751086837	0.199219367468781	NA	0.199219367468781	0.199219367468781
All	0.720438107079863	0.0772717434406865	0.00216763005780347	0.860938721095941	0.0540088222399926	0.0381233335119793	0.00260210843739741	0.213470166948359
