,chrom,x,window_start,window_stop,stat_type,stat
0,I,15081.5,10082,20081,theta,0.000469378641542353
1,I,25081.5,20082,30081,theta,0.0004054833155547725
2,I,35081.5,30082,40081,theta,0.0004417729422923295
3,I,45081.5,40082,50081,theta,0.0004774436939822845
4,I,55081.5,50082,60081,theta,0.0005499829293311323
5,I,65081.5,60082,70081,theta,0.0007065610405641166
6,I,75081.5,70082,80081,theta,0.0004299572717947949
7,I,85081.5,80082,90081,theta,0.0004694483567635896
8,I,95081.5,90082,100081,theta,0.000415234936154451
9,I,105081.5,100082,110081,theta,0.000442192268448739
10,I,115081.5,110082,120081,theta,0.00039579522100979207
11,I,125081.5,120082,130081,theta,0.00027332018024903767
12,I,135081.5,130082,140081,theta,0.00033786746800631106
13,I,145081.5,140082,150081,theta,0.00034822733448343465
14,I,155081.5,150082,160081,theta,0.00038478043125012435
15,I,165081.5,160082,170081,theta,0.0003733705574128086
16,I,175081.5,170082,180081,theta,0.00046776403120487236
17,I,185081.5,180082,190081,theta,0.0004378760459573794
18,I,195081.5,190082,200081,theta,0.0005176916891129368
19,I,205081.5,200082,210081,theta,0.0005883221458599316
20,I,215081.5,210082,220081,theta,0.0003908899192240484
21,I,225081.5,220082,230081,theta,0.000537680643783665
22,I,235081.5,230082,240081,theta,0.0005946192077241747
23,I,245081.5,240082,250081,theta,0.0005161509400381959
24,I,255081.5,250082,260081,theta,0.00022133022814484503
25,I,265081.5,260082,270081,theta,0.0004710328508740179
26,I,275081.5,270082,280081,theta,0.0005742762993600597
27,I,285081.5,280082,290081,theta,0.0005521169104826784
28,I,295081.5,290082,300081,theta,0.0006178120814896708
29,I,305081.5,300082,310081,theta,0.0005160973974095612
30,I,315081.5,310082,320081,theta,0.000631078538748704
31,I,325081.5,320082,330081,theta,0.0005171807703255826
32,I,335081.5,330082,340081,theta,0.0004817673117893828
33,I,345081.5,340082,350081,theta,0.00043560208140846595
34,I,355081.5,350082,360081,theta,0.0005570893077442711
35,I,365081.5,360082,370081,theta,0.0006329901299360594
36,I,375081.5,370082,380081,theta,0.00033973517098036477
37,I,385081.5,380082,390081,theta,0.0007078197795580427
38,I,395081.5,390082,400081,theta,0.0004824783516277908
39,I,405081.5,400082,410081,theta,0.0005325515928081665
40,I,415081.5,410082,420081,theta,0.0002541312808281149
41,I,425081.5,420082,430081,theta,0.00038044534676848495
42,I,435081.5,430082,440081,theta,0.00046190649325394875
43,I,445081.5,440082,450081,theta,0.0006511117186219537
44,I,455081.5,450082,460081,theta,0.00041314204439217507
45,I,465081.5,460082,470081,theta,0.00027119896490365535
46,I,475081.5,470082,480081,theta,0.0005136506300927708
47,I,485081.5,480082,490081,theta,0.0006378611316600678
48,I,495081.5,490082,500081,theta,0.0004271482654319432
49,I,505081.5,500082,510081,theta,0.0003928038631621372
50,I,515081.5,510082,520081,theta,0.0006652859487680477
51,I,525081.5,520082,530081,theta,0.00047217342063881365
52,I,535081.5,530082,540081,theta,0.0003994820394865895
53,I,545081.5,540082,550081,theta,0.0004025329871831771
54,I,555081.5,550082,560081,theta,0.0005406236139193172
55,I,565081.5,560082,570081,theta,0.0006427326127415602
56,I,575081.5,570082,580081,theta,0.0006559506991897469
57,I,585081.5,580082,590081,theta,0.0005530885403836281
58,I,595081.5,590082,600081,theta,0.0005958983201695249
59,I,605081.5,600082,610081,theta,0.0011843784108145144
60,I,615081.5,610082,620081,theta,0.00023000438777244348
61,I,625081.5,620082,630081,theta,5.8554938575761716e-05
62,I,635081.5,630082,640081,theta,0.00027816378574444645
63,I,645081.5,640082,650081,theta,0.0008305807864821653
64,I,655081.5,650082,660081,theta,0.0005555092228726309
65,I,665081.5,660082,670081,theta,0.0004086825624935862
66,I,675081.5,670082,680081,theta,0.000676664931795739
67,I,685081.5,680082,690081,theta,0.00042003799388925904
68,I,695081.5,690082,700081,theta,0.0005979689607864072
69,I,705081.5,700082,710081,theta,0.0006608397035521289
70,I,715081.5,710082,720081,theta,0.00067870496985542
71,I,725081.5,720082,730081,theta,0.0007806515254934539
72,I,735081.5,730082,740081,theta,0.0011629105851435476
73,I,745081.5,740082,750081,theta,0.0005339654851786354
74,I,755081.5,750082,760081,theta,0.0007162340729052717
75,I,765081.5,760082,770081,theta,0.000813926877807494
76,I,775081.5,770082,780081,theta,0.0009736706658800378
77,I,785081.5,780082,790081,theta,0.0005855574656442703
78,I,795081.5,790082,800081,theta,0.0005611842435314613
79,I,805081.5,800082,810081,theta,0.0005571165000763717
80,I,815081.5,810082,820081,theta,0.0006143966053218833
81,I,825081.5,820082,830081,theta,0.000711938516424535
82,I,835081.5,830082,840081,theta,0.0006980823080773471
83,I,845081.5,840082,850081,theta,0.0005030401541281348
84,I,855081.5,850082,860081,theta,0.0005955661222900027
85,I,865081.5,860082,870081,theta,0.000907391331108271
86,I,875081.5,870082,880081,theta,0.0009840942607110346
87,I,885081.5,880082,890081,theta,0.000906762457015204
88,I,895081.5,890082,900081,theta,0.0006807208049779105
89,I,905081.5,900082,910081,theta,0.00046099908060119257
90,I,915081.5,910082,920081,theta,0.0006435671905665994
91,I,925081.5,920082,930081,theta,0.0004520613805871604
92,I,935081.5,930082,940081,theta,0.0006232650844805759
93,I,945081.5,940082,950081,theta,0.0007444484712089364
94,I,955081.5,950082,960081,theta,0.0012010849608443078
95,I,965081.5,960082,970081,theta,0.0008285060634518185
96,I,975081.5,970082,980081,theta,0.0006677868408480481
97,I,985081.5,980082,990081,theta,0.0012307310306710654
98,I,995081.5,990082,1000081,theta,0.0006115809587584123
99,I,1005081.5,1000082,1010081,theta,0.00038791634445816694
100,I,1015081.5,1010082,1020081,theta,0.000618464883773578
101,I,1025081.5,1020082,1030081,theta,0.0005145520129801406
102,I,1035081.5,1030082,1040081,theta,0.0005493792967124746
103,I,1045081.5,1040082,1050081,theta,0.0006647225642149362
104,I,1055081.5,1050082,1060081,theta,0.0004536482871429456
105,I,1065081.5,1060082,1070081,theta,0.0007636960492689138
106,I,1075081.5,1070082,1080081,theta,0.0006633218109738375
107,I,1085081.5,1080082,1090081,theta,0.0007620123925606019
108,I,1095081.5,1090082,1100081,theta,0.0011837302804435367
109,I,1105081.5,1100082,1110081,theta,0.0009337712765033417
110,I,1115081.5,1110082,1120081,theta,0.0008200795646062793
111,I,1125081.5,1120082,1130081,theta,0.0007343979498159526
112,I,1135081.5,1130082,1140081,theta,0.0008567787483869776
113,I,1145081.5,1140082,1150081,theta,0.004722118854809008
114,I,1155081.5,1150082,1160081,theta,0.0019389158419525685
115,I,1165081.5,1160082,1170081,theta,0.0023493547914700003
116,I,1175081.5,1170082,1180081,theta,0.0008555064068426682
117,I,1185081.5,1180082,1190081,theta,0.000682265026230696
118,I,1195081.5,1190082,1200081,theta,0.0007886522486185708
119,I,1205081.5,1200082,1210081,theta,0.001175760925134488
120,I,1215081.5,1210082,1220081,theta,0.0009308205612800984
121,I,1225081.5,1220082,1230081,theta,0.00041561596886842276
122,I,1235081.5,1230082,1240081,theta,0.0005560723047980518
123,I,1245081.5,1240082,1250081,theta,0.00040154253327462667
124,I,1255081.5,1250082,1260081,theta,0.0034455959846692863
125,I,1265081.5,1260082,1270081,theta,0.0009487137997234832
126,I,1275081.5,1270082,1280081,theta,0.0006345144394632325
127,I,1285081.5,1280082,1290081,theta,0.0007754272265133735
128,I,1295081.5,1290082,1300081,theta,0.0008818378254313297
129,I,1305081.5,1300082,1310081,theta,0.0004707715723900629
130,I,1315081.5,1310082,1320081,theta,0.0015392903773920163
131,I,1325081.5,1320082,1330081,theta,0.0007242473884308067
132,I,1335081.5,1330082,1340081,theta,0.000752434922467048
133,I,1345081.5,1340082,1350081,theta,0.0005040553360675722
134,I,1355081.5,1350082,1360081,theta,0.0012806056052046075
135,I,1365081.5,1360082,1370081,theta,0.0007530644576323518
136,I,1375081.5,1370082,1380081,theta,0.0005409911975425837
137,I,1385081.5,1380082,1390081,theta,0.0007022760499603465
138,I,1395081.5,1390082,1400081,theta,0.0008510861633888242
139,I,1405081.5,1400082,1410081,theta,0.0009505895225304495
140,I,1415081.5,1410082,1420081,theta,0.0006925091387338353
141,I,1425081.5,1420082,1430081,theta,0.00046688689113478127
142,I,1435081.5,1430082,1440081,theta,0.0007498736443760429
143,I,1445081.5,1440082,1450081,theta,0.0006654058315457271
144,I,1455081.5,1450082,1460081,theta,0.0008996014650803062
145,I,1465081.5,1460082,1470081,theta,0.0007665344930498604
146,I,1475081.5,1470082,1480081,theta,0.000902992241350688
147,I,1485081.5,1480082,1490081,theta,0.0006188899455493673
148,I,1495081.5,1490082,1500081,theta,0.0008371988998810354
149,I,1505081.5,1500082,1510081,theta,0.0008276728147623673
150,I,1515081.5,1510082,1520081,theta,0.0017259496828324406
151,I,1525081.5,1520082,1530081,theta,0.006240706839647018
152,I,1535081.5,1530082,1540081,theta,0.0004894995723023292
153,I,1545081.5,1540082,1550081,theta,0.0014803003216903989
154,I,1555081.5,1550082,1560081,theta,0.0005616901383653998
155,I,1565081.5,1560082,1570081,theta,0.0007325280430733691
156,I,1575081.5,1570082,1580081,theta,0.0007137180166215548
157,I,1585081.5,1580082,1590081,theta,0.0005257894293910434
158,I,1595081.5,1590082,1600081,theta,0.0006085441661750236
159,I,1605081.5,1600082,1610081,theta,0.0005523858422461867
160,I,1615081.5,1610082,1620081,theta,0.0007473380566947321
161,I,1625081.5,1620082,1630081,theta,0.0009297195802780056
162,I,1635081.5,1630082,1640081,theta,0.0009819379325582852
163,I,1645081.5,1640082,1650081,theta,0.0007601495662380703
164,I,1655081.5,1650082,1660081,theta,0.0012561192602086552
165,I,1665081.5,1660082,1670081,theta,0.0006726214272619101
166,I,1675081.5,1670082,1680081,theta,0.001270816916555435
167,I,1685081.5,1680082,1690081,theta,0.0005742714836258931
168,I,1695081.5,1690082,1700081,theta,0.0012185068544919844
169,I,1705081.5,1700082,1710081,theta,0.0008459200685879305
170,I,1715081.5,1710082,1720081,theta,0.0007594919974091447
171,I,1725081.5,1720082,1730081,theta,0.0023239403563997474
172,I,1735081.5,1730082,1740081,theta,0.001353329863591478
173,I,1745081.5,1740082,1750081,theta,0.0008678836021302076
174,I,1755081.5,1750082,1760081,theta,0.0004636337424903603
175,I,1765081.5,1760082,1770081,theta,0.0005939873817772622
176,I,1775081.5,1770082,1780081,theta,0.0006966194781843199
177,I,1785081.5,1780082,1790081,theta,0.00033683049671351525
178,I,1795081.5,1790082,1800081,theta,0.0
179,I,1805081.5,1800082,1810081,theta,0.0005783746699637492
180,I,1815081.5,1810082,1820081,theta,0.0007969749286271298
181,I,1825081.5,1820082,1830081,theta,0.000533604079731183
182,I,1835081.5,1830082,1840081,theta,0.0005407843702719546
183,I,1845081.5,1840082,1850081,theta,0.00065921293614519
184,I,1855081.5,1850082,1860081,theta,0.0006455425403041202
185,I,1865081.5,1860082,1870081,theta,0.000664052862564538
186,I,1875081.5,1870082,1880081,theta,0.0004992263546275425
187,I,1885081.5,1880082,1890081,theta,0.000663923736392144
188,I,1895081.5,1890082,1900081,theta,0.0009205825708560213
189,I,1905081.5,1900082,1910081,theta,0.0006318830305584065
190,I,1915081.5,1910082,1920081,theta,0.00048447512853531976
191,I,1925081.5,1920082,1930081,theta,0.0006397726106192223
192,I,1935081.5,1930082,1940081,theta,0.0006510035213153968
193,I,1945081.5,1940082,1950081,theta,0.0004176233346895216
194,I,1955081.5,1950082,1960081,theta,0.0006399684736533066
195,I,1965081.5,1960082,1970081,theta,0.000801240040052926
196,I,1975081.5,1970082,1980081,theta,0.0005553638206418044
197,I,1985081.5,1980082,1990081,theta,0.00039615239661814836
198,I,1995081.5,1990082,2000081,theta,0.0024285627644280196
