[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1466	77452	4826329	4750337	75987	75993	99.94	12301352	4826329	I	ptg000006l
12784	14701	4182030	4180110	1918	1921	99.74	12301352	4272548	I	ptg000008l
15316	16394	5814533	5813457	1079	1077	91.57	12301352	6257069	I	ptg000002l
15320	16326	19211	18198	1007	1014	89.49	12301352	1197622	I	ptg000013l
15321	16394	680192	679120	1074	1073	89.10	12301352	1873917	I	ptg000017l
15322	16327	21263	20261	1006	1003	91.30	12301352	1197622	I	ptg000013l
15360	16393	741491	742523	1034	1033	89.58	12301352	1873917	I	ptg000017l
29929	31171	1461958	1463200	1243	1243	98.79	12301352	15720511	I	ptg000004l
29930	31171	242976	244217	1242	1242	99.76	12301352	2211932	I	ptg000016l
29931	31176	882885	884130	1246	1246	99.68	12301352	1575185	I	ptg000005l
57369	499630	4770427	4328163	442262	442265	99.94	12301352	4826329	I	ptg000006l
112252	113986	1281831	1283607	1735	1777	97.52	12301352	4326506	I	ptg000003l
112252	113860	4276115	4277700	1609	1586	98.07	12301352	8302853	I	ptg000015l
129483	131088	13311208	13312802	1606	1595	87.16	12301352	15720511	I	ptg000004l
224131	225372	884126	882885	1242	1242	99.60	12301352	1575185	I	ptg000005l
224131	225373	239546	240788	1243	1243	99.60	12301352	1847727	I	ptg000025l
224132	225372	224238	225478	1241	1241	99.52	12301352	6257069	I	ptg000002l
224132	225372	2142137	2143377	1241	1241	99.52	12301352	4326506	I	ptg000003l
224132	225372	762463	761223	1241	1241	99.52	12301352	1575185	I	ptg000005l
224132	225373	1507332	1508573	1242	1242	99.36	12301352	1575185	I	ptg000005l
224132	225372	4796623	4797863	1241	1241	99.84	12301352	4826329	I	ptg000006l
224132	225372	107683	106443	1241	1241	99.60	12301352	2762287	I	ptg000010l
224132	225372	244217	242977	1241	1241	99.60	12301352	2211932	I	ptg000016l
224132	225376	489184	490428	1245	1245	99.68	12301352	2211932	I	ptg000016l
241324	242353	4665102	4664072	1030	1031	99.71	12301352	8302853	I	ptg000015l
241325	242353	5613522	5612493	1029	1030	99.71	12301352	8302853	I	ptg000015l
249512	250622	2032302	2033396	1111	1095	85.16	12301352	2529303	I	ptg000012l
305538	319344	4522225	4508416	13807	13810	99.83	12301352	4826329	I	ptg000006l
311100	312191	1116159	1115070	1092	1090	92.26	12301352	1575185	I	ptg000005l
311101	312191	330017	328921	1091	1097	93.83	12301352	1873917	I	ptg000017l
311102	312191	6129206	6130289	1090	1084	92.22	12301352	8302853	I	ptg000015l
311102	312186	11236	10143	1085	1094	92.37	12301352	137211	I	ptg000024l
313177	314556	4823130	4824507	1380	1378	98.99	12301352	8302853	I	ptg000015l
313177	314456	176663	175396	1280	1268	94.93	12301352	1847727	I	ptg000025l
313181	314473	1385464	1384186	1293	1279	89.38	12301352	1847727	I	ptg000025l
313226	314456	659595	660817	1231	1223	95.71	12301352	1123740	I	ptg000018l
313348	314559	2705203	2704001	1212	1203	91.22	12301352	4272548	I	ptg000008l
313348	314456	3145573	3146674	1109	1102	92.73	12301352	3539736	I	ptg000009l
420130	422514	2409425	2411833	2385	2409	96.27	12301352	2529303	I	ptg000012l
