pop	chromosome	window_pos_1	window_pos_2	tajima_d	no_sites	raw_pi	raw_watterson_theta	tajima_d_stdev
GLOBAL	I	1	10000	-0.81527800379427	134	0.0056576858939586	0.14013212318178	0.16494304600638
GLOBAL	I	10001	20000	-0.97778071182934	7118	2.8721455179158	13.001916296115	10.359961753844
GLOBAL	I	20001	30000	-1.0138803075918	8690	1.7955645023407	13.665195952844	11.707132845588
GLOBAL	I	30001	40000	-1.2640006771623	9013	2.6123425198762	8.9773303993935	5.0355889791189
GLOBAL	I	40001	50000	-1.5413775532426	9527	3.4712825537378	13.640787600834	6.5976729878429
GLOBAL	I	50001	60000	-1.4580736449504	9644	3.3193385834255	14.029709452759	7.3455623496285
GLOBAL	I	60001	70000	-1.458910731834	9290	3.8184954451415	15.330712124471	7.8909671634649
GLOBAL	I	70001	80000	-1.333250768156	9861	3.5052360896764	12.731667299134	6.9202519359641
GLOBAL	I	80001	90000	-1.2510531061983	9565	3.0867557640667	12.348058260301	7.4028052449174
GLOBAL	I	90001	100000	-1.2708554668655	9064	3.3236502522898	13.127604445383	7.7144525468929
GLOBAL	I	100001	110000	-1.1727766089526	9324	4.7827346607381	13.254091833862	7.223334016433
GLOBAL	I	110001	120000	-1.1896900116474	8898	2.6571932932665	9.7479515196568	5.960172950071
GLOBAL	I	120001	130000	-1.4685008021245	9630	2.4439378509647	9.8702514381845	5.0570715225187
GLOBAL	I	130001	140000	-1.5930779288461	9301	1.6015952541209	10.651215764769	5.6805887187222
GLOBAL	I	140001	150000	-1.2736679602355	9511	3.1763979136988	11.955623444587	6.8928683181019
GLOBAL	I	150001	160000	-1.5134789698313	9641	2.9747247266545	15.203238339637	8.0797380450856
GLOBAL	I	160001	170000	-1.3133918693172	9523	2.8164004278104	11.04401350548	6.2644008006134
GLOBAL	I	170001	180000	-1.6203140985117	9598	2.0624273312028	16.113605609739	8.671885464332
GLOBAL	I	180001	190000	-1.3191809229248	9521	4.0272265840327	13.902873077431	7.4861956550304
GLOBAL	I	190001	200000	-1.6269956255329	9426	3.2502692953381	17.148166972924	8.5420621048283
GLOBAL	I	200001	210000	-1.4788922059765	9290	4.2149526178018	16.887982065762	8.5692719163348
GLOBAL	I	210001	220000	-1.4028617245245	9040	3.0042610486911	15.997836089963	9.262192284614
GLOBAL	I	220001	230000	-1.204174525141	8976	5.2437072116531	16.122350360045	9.0341083632524
GLOBAL	I	230001	240000	-1.5237975563012	9334	2.9710504639279	14.944494945452	7.8576346523279
GLOBAL	I	240001	250000	-1.2673426456241	9470	2.6523441380861	11.699992325264	7.1390702572961
GLOBAL	I	250001	260000	-1.5717056560996	9584	1.5780745730441	8.8314907287594	4.614996534221
GLOBAL	I	260001	270000	-1.6845942084144	9616	2.5230699845527	15.327791774407	7.6010719530528
GLOBAL	I	270001	280000	-1.3982846710149	9250	2.2136925654467	12.739346825634	7.5275474861265
GLOBAL	I	280001	290000	-1.4304181853882	8889	3.5676315643427	15.739784850686	8.5095068076471
GLOBAL	I	290001	300000	-1.4350972900859	9142	2.7560815443653	13.647314401959	7.5891947764331
GLOBAL	I	300001	310000	-1.4500559231907	9496	2.6013859187403	13.38326562068	7.4354923348168
GLOBAL	I	310001	320000	-0.99322008170245	8267	3.4201413774108	17.475941771798	14.151748090207
GLOBAL	I	320001	330000	-1.3272708407608	9389	3.6794553606908	14.294446982567	7.9976077947978
GLOBAL	I	330001	340000	-1.6746998974934	9473	2.384399868311	16.244058032029	8.2759055425172
GLOBAL	I	340001	350000	-1.4683615846264	9248	2.6540092188602	15.341070839982	8.6402843509075
GLOBAL	I	350001	360000	-1.4037599127839	9548	4.1894589084851	15.590937720305	8.1221003021869
GLOBAL	I	360001	370000	-1.5551586737333	9233	3.8820922741008	17.668126579637	8.8647123527539
GLOBAL	I	370001	380000	-1.4999831567558	9051	2.576789815858	13.901603071705	7.5499602811145
GLOBAL	I	380001	390000	-1.5312330466803	9105	3.8321640167553	19.889027849926	10.48623125525
GLOBAL	I	390001	400000	-1.4966265004004	9343	12.456513330506	43.167508724132	20.520146733611
GLOBAL	I	400001	410000	-1.5320427289297	9116	18.183147206917	57.467719488821	25.641956023869
GLOBAL	I	410001	420000	-1.5204033564498	9060	17.000887265083	52.642935377543	23.442495020325
GLOBAL	I	420001	430000	-1.3660173047669	9066	13.501323273196	40.889345637691	20.049542761223
GLOBAL	I	430001	440000	-1.5772000538799	8903	21.952655031682	71.508519998784	31.420151708209
GLOBAL	I	440001	450000	-1.3129509681695	9008	6.5239897145791	22.877141292667	12.455264495434
GLOBAL	I	450001	460000	-1.2397770058602	9327	4.3372513798441	13.512954084131	7.4010912131095
GLOBAL	I	460001	470000	-1.297544998776	9372	2.7998150179694	12.085123199133	7.1560587031062
GLOBAL	I	470001	480000	-1.4816381813813	9320	2.8441389429173	13.251315673434	7.0241013368151
GLOBAL	I	480001	490000	-1.1937752143509	8958	4.7179142999689	19.655581626332	12.512964875456
GLOBAL	I	490001	500000	-1.6172613981099	9397	2.5240865838551	13.901179872027	7.0347893676735
GLOBAL	I	500001	510000	-1.3217307563714	9533	4.2634543172012	15.726767087911	8.6729560581468
GLOBAL	I	510001	520000	-1.4080077095679	9270	4.5673728525603	20.667664803611	11.43480383072
GLOBAL	I	520001	530000	-0.94077149417272	8717	5.7146167307222	19.553848400749	14.710513398576
GLOBAL	I	530001	540000	-1.2888925631867	9775	3.4653109319213	10.780532798662	5.6755869928014
GLOBAL	I	540001	550000	-1.3222479216892	9611	2.9088535539322	11.953174665686	6.8401099093425
GLOBAL	I	550001	560000	-1.2554450203214	8752	4.1249150814846	15.600363209778	9.1405421524197
GLOBAL	I	560001	570000	-1.0301471777076	8200	5.5297201080606	20.520895939836	14.552460227223
GLOBAL	I	570001	580000	-1.0745648514576	8443	4.1301669133279	14.572338466205	9.7175815295955
GLOBAL	I	580001	590000	-0.90380276049248	8957	4.5485053224796	14.526388060521	11.039889646503
GLOBAL	I	590001	600000	-0.89272489606879	7376	4.0848526525428	12.434610486983	9.3531141241938
GLOBAL	I	600001	610000	-1.0929116662907	6969	4.9546706299782	22.854940500459	16.378514771678
GLOBAL	I	610001	620000	-0.72944798923812	3829	1.9692064881425	8.4195084070758	8.8427167037233
GLOBAL	I	620001	630000	-0.18582116932798	1446	2.2323853435481	2.6597632727755	2.2999420936429
GLOBAL	I	630001	640000	-0.81379599136078	3298	1.7642970977636	7.381401731365	6.9023498434895
GLOBAL	I	640001	650000	-1.2204229055923	9019	5.4954940507484	22.138264678576	13.636888124245
GLOBAL	I	650001	660000	-1.0997742569558	8665	6.1003843275397	17.81970330592	10.656113201649
GLOBAL	I	660001	670000	-1.1064335556758	8700	5.3554794219014	14.948789414564	8.6704799790734
GLOBAL	I	670001	680000	-1.1557013382736	9163	4.874499250246	17.034306099949	10.521582390713
GLOBAL	I	680001	690000	-1.4124334420695	9217	2.8345043258902	14.177803624502	8.0310327982547
GLOBAL	I	690001	700000	-1.3399484386976	9094	4.5675043368241	18.473714111546	10.3781678258
GLOBAL	I	700001	710000	-1.2251560906671	8296	4.1357177234958	20.546292890569	13.394681128457
GLOBAL	I	710001	720000	-1.1962762016215	8559	5.7821136460267	18.987968668425	11.039135447565
GLOBAL	I	720001	730000	-0.9813131428361	8990	8.4329825899586	20.420050511347	12.215334125399
GLOBAL	I	730001	740000	-0.88388697447881	8535	13.390163338048	26.038819994219	14.31026479786
GLOBAL	I	740001	750000	-0.99519532854516	8505	9.0203811597698	22.120251940416	13.163115224623
GLOBAL	I	750001	760000	-1.089474917822	8745	12.434112229256	30.957786444788	17.002387032978
GLOBAL	I	760001	770000	-1.1726308272135	8740	10.415441586643	31.890419107356	18.313502444536
GLOBAL	I	770001	780000	-0.71962125340267	8327	13.104842982324	29.168191365821	22.321948257563
GLOBAL	I	780001	790000	-0.87867347657747	8083	7.5668388469903	17.452269197664	11.250402583197
GLOBAL	I	790001	800000	-0.80570496236628	8721	7.7838280673808	16.65605665872	11.011758653295
GLOBAL	I	800001	810000	-1.1251469748645	8948	5.3106823403263	17.689540908241	11.001992490275
GLOBAL	I	810001	820000	-1.326345232409	8836	11.056917300599	31.19325389068	15.181821518299
GLOBAL	I	820001	830000	-1.2048560441929	8813	8.4958079629695	25.75816303139	14.327317484625
GLOBAL	I	830001	840000	-1.0013949602674	8983	11.000626270645	23.136874379171	12.119342107818
GLOBAL	I	840001	850000	-0.75111737061393	7964	12.198345631361	22.941211036321	14.302512264068
