pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Tw5	I	1	10000	NA	0	0	0	804
Tw3	I	1	10000	0	64	0	294	253100
Tw1	I	1	10000	NA	0	0	0	30954
Hw3	I	1	10000	NA	0	0	0	43550
Hw1	I	1	10000	NA	0	0	0	138690
HC	I	1	10000	0	96	0	1712	321898
Hw2	I	1	10000	NA	0	0	0	6030
Af	I	1	10000	NA	0	0	0	84420
LAC	I	1	10000	6.4083467768789e-05	134	1352	21097485	20664285
Indo2	I	1	10000	NA	0	0	0	804
Indo3	I	1	10000	NA	0	0	0	134
Indo1	I	1	10000	NA	0	0	0	134
Tw2	I	1	10000	NA	0	0	0	3752
Tw6	I	1	10000	NA	0	0	0	804
Tw7	I	1	10000	NA	0	0	0	134
Tw4	I	1	10000	0	64	0	324	1686
Au	I	1	10000	NA	0	0	0	8844
Mic2	I	1	10000	0	54	0	529	512423
Mic1	I	1	10000	0	10	0	10	164140
Tw5	I	10001	20000	0.00031340593904254	5311	8	25526	17272
Tw3	I	10001	20000	0	6149	0	242682	13245821
Tw1	I	10001	20000	0	5800	0	1155844	491879
Hw3	I	10001	20000	0	766	0	127905	2190320
Hw1	I	10001	20000	7.4794090060529e-05	5089	248	3315770	4066885
HC	I	10001	20000	0.00010340411931373	6566	1188	11488904	5737291
Hw2	I	10001	20000	0	5581	0	222200	98785
Af	I	10001	20000	0.00091536539060668	4631	1472	1608101	2885689
LAC	I	10001	20000	0.00019424312833946	6994	308880	1590172083	632863032
Indo2	I	10001	20000	0	1624	0	1624	41174
Indo3	I	10001	20000	0	2839	0	2839	4294
Indo1	I	10001	20000	0	5835	0	5835	1298
Tw2	I	10001	20000	0	4969	0	74288	125436
Tw6	I	10001	20000	0	4324	0	24709	18089
Tw7	I	10001	20000	0	2130	0	2130	5003
Tw4	I	10001	20000	0	4980	0	67380	39615
Au	I	10001	20000	0	2287	0	134574	336204
Mic2	I	10001	20000	0.00048087725914206	6631	6752	14041005	13264119
Mic1	I	10001	20000	0	2086	0	236188	8501737
Tw5	I	20001	30000	0.00016520392359319	8440	8	48425	3715
Tw3	I	20001	30000	0.00016137441728899	8680	1048	6494214	9938576
Tw1	I	20001	30000	0	8688	0	1915025	92365
Hw3	I	20001	30000	0	6158	0	1895713	928537
Hw1	I	20001	30000	3.3438096748117e-05	8566	240	7177442	1816708
HC	I	20001	30000	3.9328321918602e-05	8690	792	20138159	848191
Hw2	I	20001	30000	0	8679	0	371598	19452
Af	I	20001	30000	0.00083642391971669	8480	4000	4782264	692436
LAC	I	20001	30000	2.9536082096414e-05	8690	76492	2589781534	118500416
Indo2	I	20001	30000	0.00021027177627083	3333	4	19023	33117
Indo3	I	20001	30000	0	8290	0	8290	400
Indo1	I	20001	30000	0	8630	0	8630	60
Tw2	I	20001	30000	5.1982256723039e-05	8683	12	230848	12472
Tw6	I	20001	30000	0	8644	0	50254	1886
Tw7	I	20001	30000	0	7228	0	7228	1462
Tw4	I	20001	30000	0	8646	0	127871	2479
Au	I	20001	30000	0	6610	0	424373	149167
Mic2	I	20001	30000	0.00028706636372158	8690	7904	27533703	5731617
Mic1	I	20001	30000	0.00011100706971284	8375	556	5008690	5636560
Tw5	I	30001	40000	0	8839	0	52004	2116
Tw3	I	30001	40000	3.8991273813844e-05	8950	640	16413929	642891
Tw1	I	30001	40000	4.8152571422552e-05	8812	96	1993663	89957
Hw3	I	30001	40000	0	8485	0	2731508	199992
Hw1	I	30001	40000	0	8914	0	8917403	418297
HC	I	30001	40000	0.00011042773300491	8843	2304	20864324	918976
Hw2	I	30001	40000	0	8728	0	384741	21159
Af	I	30001	40000	0.0002092006520703	8877	1132	5411073	271527
LAC	I	30001	40000	6.6940522817897e-05	9002	181188	2706701298	104426802
Indo2	I	30001	40000	7.9068572219257e-05	8449	4	50589	3531
Indo3	I	30001	40000	0	8484	0	8484	536
Indo1	I	30001	40000	0	8805	0	8805	215
Tw2	I	30001	40000	0	8874	0	243087	9473
Tw6	I	30001	40000	0	8728	0	52203	1917
Tw7	I	30001	40000	0	8383	0	8383	637
Tw4	I	30001	40000	0	8833	0	130594	4706
Au	I	30001	40000	0	8777	0	571246	24074
Mic2	I	30001	40000	0.00018128563760808	8952	5836	32192291	2336269
Mic1	I	30001	40000	0.00017634095922656	9011	1860	10547748	501752
Tw5	I	40001	50000	7.0276538177729e-05	9523	4	56918	244
Tw3	I	40001	50000	3.5734312483274e-05	9527	640	17909957	105600
Tw1	I	40001	50000	1.8235629867773e-05	9527	40	2193508	7229
Hw3	I	40001	50000	0	9522	0	3064745	31530
Hw1	I	40001	50000	3.1030299862936e-05	9527	304	9796876	63569
HC	I	40001	50000	7.2761402536232e-05	9527	1668	22924242	83463
Hw2	I	40001	50000	0	9527	0	420318	8397
Af	I	40001	50000	0.00031102630132918	9527	1856	5967341	34669
LAC	I	40001	50000	0.00011884516241392	9527	351316	2956081618	13055567
Indo2	I	40001	50000	0.00028056885335017	9527	16	57027	135
Indo3	I	40001	50000	0	9514	0	9514	13
Indo1	I	40001	50000	0	9519	0	9519	8
Tw2	I	40001	50000	0	9522	0	265375	1381
Tw6	I	40001	50000	0	9527	0	56942	220
Tw7	I	40001	50000	0	9197	0	9197	330
Tw4	I	40001	50000	0	9527	0	142582	323
Au	I	40001	50000	0	9527	0	627964	818
Mic2	I	40001	50000	0.00017861009781141	9527	6304	35294757	1174599
Mic1	I	40001	50000	0.00027076119294481	9527	3136	11582162	88413
Tw5	I	50001	60000	6.9211336816971e-05	9644	4	57794	70
Tw3	I	50001	60000	6.4023684347782e-05	9644	1160	18118295	118509
Tw1	I	50001	60000	7.9405648719336e-05	9644	176	2216467	11297
Hw3	I	50001	60000	1.6035743672646e-05	9494	48	2993313	140987
Hw1	I	50001	60000	0	9644	0	9880742	100798
HC	I	50001	60000	0.00013919192979843	9644	3192	22932364	357896
Hw2	I	50001	60000	0	9587	0	418057	15923
Af	I	50001	60000	0.00039382602984179	9644	2372	6022964	52756
LAC	I	50001	60000	6.9310987702629e-05	9644	207696	2996581161	9019659
Indo2	I	50001	60000	0.00013838675638741	9644	8	57809	55
Indo3	I	50001	60000	0	9632	0	9632	12
Indo1	I	50001	60000	0	9635	0	9635	9
Tw2	I	50001	60000	0	9642	0	268337	1695
Tw6	I	50001	60000	0	9584	0	57054	810
Tw7	I	50001	60000	0	9366	0	9366	278
