[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	380447	876974	496507	380447	380468	99.97	12301352	886375	I	ptg000029l
10001	14705	28081	32789	4705	4709	99.75	12301352	2370682	I	ptg000015l
11573	14705	15531	18666	3133	3136	99.81	12301352	108962	I	ptg000028l
12784	14701	27283	29203	1918	1921	99.74	12301352	11125400	I	ptg000001l
15320	16399	6718022	6716937	1080	1086	89.19	12301352	7891704	I	ptg000004l
15321	16394	1222187	1221116	1074	1072	89.20	12301352	3009539	I	ptg000018l
15322	16393	6720072	6719005	1072	1068	91.19	12301352	7891704	I	ptg000004l
15360	16393	138663	137631	1034	1033	89.58	12301352	151958	I	ptg000036l
17362	24213	19591	12716	6852	6876	98.59	12301352	11125400	I	ptg000001l
17362	23136	6668797	6674582	5775	5786	99.03	12301352	6687930	I	ptg000003l
17362	24221	5844274	5851147	6860	6874	98.61	12301352	5889960	I	ptg000010l
17362	24221	5861327	5868200	6860	6874	98.58	12301352	5889960	I	ptg000010l
17362	22580	38092	32871	5219	5222	99.35	12301352	2370682	I	ptg000015l
26195	28029	5851147	5852960	1835	1814	92.98	12301352	5889960	I	ptg000010l
26195	28029	5868200	5870013	1835	1814	92.98	12301352	5889960	I	ptg000010l
29929	31171	1460704	1461946	1243	1243	98.63	12301352	11131303	I	ptg000007l
112252	113860	960307	961913	1609	1607	99.32	12301352	1451275	I	ptg000016l
112252	113860	107564	109149	1609	1586	98.07	12301352	190839	I	ptg000049l
129483	131088	25041	26634	1606	1594	87.16	12301352	76166	I	ptg000012l
129483	131088	713171	714765	1606	1595	87.16	12301352	2993841	I	ptg000017l
224131	225373	239861	241103	1243	1243	99.60	12301352	1760891	I	ptg000019l
224132	225376	591024	592268	1245	1245	99.76	12301352	6687930	I	ptg000003l
224132	225372	4477194	4478434	1241	1241	99.52	12301352	6687930	I	ptg000003l
224132	225185	1331028	1329975	1054	1054	98.86	12301352	5889960	I	ptg000010l
224132	225372	1584435	1583195	1241	1241	99.60	12301352	5889960	I	ptg000010l
224132	225372	845801	847041	1241	1241	99.84	12301352	886375	I	ptg000029l
249512	250622	2366470	2365376	1111	1095	85.24	12301352	7891704	I	ptg000004l
249512	250622	147289	146195	1111	1095	85.16	12301352	300078	I	ptg000026l
311101	312186	2805405	2804318	1086	1088	92.53	12301352	3600345	I	ptg000008l
311102	312191	2159840	2158755	1090	1086	93.14	12301352	3600345	I	ptg000008l
311102	312186	419943	418850	1085	1094	92.37	12301352	3009539	I	ptg000018l
313177	314556	3508564	3507187	1380	1378	98.99	12301352	3600345	I	ptg000008l
313177	314456	176965	175698	1280	1268	94.93	12301352	1760891	I	ptg000019l
313181	314473	1380493	1379215	1293	1279	89.38	12301352	1760891	I	ptg000019l
313348	314559	1502862	1504064	1212	1203	91.22	12301352	11125400	I	ptg000001l
313348	314456	378290	377189	1109	1102	92.73	12301352	638237	I	ptg000011l
370023	447612	506931	429359	77590	77573	99.93	12301352	886375	I	ptg000029l
420130	422263	1966352	1964195	2134	2158	96.02	12301352	7891704	I	ptg000004l
420168	422487	45583	47925	2320	2343	98.80	12301352	60650	I	ptg000101l
427613	605230	449364	271737	177618	177628	99.99	12301352	886375	I	ptg000029l
440600	442493	138391	140276	1894	1886	98.79	12301352	2993841	I	ptg000017l
440601	443226	3125719	3128344	2626	2626	99.16	12301352	11131303	I	ptg000007l
442493	443858	140555	141920	1366	1366	99.34	12301352	2993841	I	ptg000017l
527065	528314	102759	101510	1250	1250	96.08	12301352	886375	I	ptg000029l
527066	528313	290999	292246	1248	1248	98.56	12301352	886375	I	ptg000029l
527072	528313	2330672	2331913	1242	1242	98.87	12301352	6821072	I	ptg000006l
527073	528313	869630	870870	1241	1241	93.23	12301352	11125400	I	ptg000001l
527073	528313	2305301	2306541	1241	1241	93.55	12301352	6821072	I	ptg000006l
527073	528313	1952828	1954068	1241	1241	98.23	12301352	3945865	I	ptg000009l
568344	569588	1966640	1965396	1245	1245	98.55	12301352	3600345	I	ptg000008l
568344	569587	20837	22080	1244	1244	98.63	12301352	190839	I	ptg000049l
568346	569588	583240	581998	1243	1243	97.59	12301352	3009539	I	ptg000018l
584718	585968	241104	239853	1251	1252	93.45	12301352	1760891	I	ptg000019l
584720	585960	1954068	1952828	1241	1241	96.78	12301352	3945865	I	ptg000009l
584720	585961	101511	102752	1242	1242	95.25	12301352	886375	I	ptg000029l
584720	585967	348654	349901	1248	1248	98.56	12301352	886375	I	ptg000029l
595109	605274	281857	271737	10166	10121	99.51	12301352	886375	I	ptg000029l
603703	604775	266812	267926	1073	1115	81.92	12301352	886375	I	ptg000029l
604905	616532	272194	260567	11628	11628	99.28	12301352	886375	I	ptg000029l
609173	610287	272192	273264	1115	1073	81.92	12301352	886375	I	ptg000029l
611718	612821	4224162	4223046	1104	1117	86.33	12301352	5889960	I	ptg000010l
612824	615421	238968	236378	2598	2591	97.23	12301352	886375	I	ptg000029l
612824	619600	246758	239979	6777	6780	97.69	12301352	886375	I	ptg000029l
612824	624876	248426	236378	12053	12049	97.71	12301352	886375	I	ptg000029l
612824	627456	263858	249227	14633	14632	98.55	12301352	886375	I	ptg000029l
612915	632822	259873	239963	19908	19911	98.54	12301352	886375	I	ptg000029l
