[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
10001	14695	19903	24594	4695	4692	99.64	12301352	1390789	I	ptg000004l
10001	14701	4795008	4790305	4701	4704	99.77	12301352	4812546	I	ptg000014l
10001	14705	91687	86977	4705	4711	99.68	12301352	134148	I	ptg000039l
10001	14705	104016	99306	4705	4711	99.68	12301352	134148	I	ptg000039l
14695	25672	28772	39748	10978	10977	99.94	12301352	1390789	I	ptg000004l
15316	16394	4372697	4371619	1079	1079	91.58	12301352	4812546	I	ptg000014l
15320	16399	1180252	1181338	1080	1087	89.02	12301352	5953278	I	ptg000007l
15321	16394	1017114	1016041	1074	1074	89.21	12301352	1346118	I	ptg000036l
15322	16393	1178198	1179265	1072	1068	91.19	12301352	5953278	I	ptg000007l
15360	16393	1077473	1078505	1034	1033	89.58	12301352	1346118	I	ptg000036l
17362	24221	35036	28168	6860	6869	98.72	12301352	629441	I	ptg000025l
17362	24221	57014	50140	6860	6875	98.66	12301352	629441	I	ptg000025l
17362	24221	79076	72208	6860	6869	98.78	12301352	629441	I	ptg000025l
17362	24221	13571	6697	6860	6875	98.68	12301352	2561466	I	ptg000034l
17362	24221	169689	176563	6860	6875	98.68	12301352	197670	I	ptg000043l
17362	24221	4102	10982	6860	6881	98.62	12301352	36413	I	ptg000056c
17362	24221	23592	30466	6860	6875	98.66	12301352	36413	I	ptg000056c
21991	24221	11405	13650	2231	2246	97.20	12301352	36413	I	ptg000056c
25818	297986	39748	311892	272169	272145	99.73	12301352	1390789	I	ptg000004l
26195	28029	28168	26315	1835	1854	93.56	12301352	629441	I	ptg000025l
26195	28029	50140	48314	1835	1827	93.83	12301352	629441	I	ptg000025l
26195	28029	72208	70355	1835	1854	93.61	12301352	629441	I	ptg000025l
26195	28029	6697	4882	1835	1816	94.54	12301352	2561466	I	ptg000034l
26195	28029	176563	178378	1835	1816	94.54	12301352	197670	I	ptg000043l
26195	28029	13650	15470	1835	1821	94.13	12301352	36413	I	ptg000056c
26195	28029	30466	32288	1835	1823	93.82	12301352	36413	I	ptg000056c
29930	31172	1469581	1468339	1243	1243	99.92	12301352	1600654	I	ptg000011l
29931	31171	239355	238120	1241	1236	99.60	12301352	1390789	I	ptg000004l
29931	31171	1518497	1519737	1241	1241	99.92	12301352	1600654	I	ptg000011l
112252	113860	897469	895893	1609	1577	97.51	12301352	1869696	I	ptg000015l
129483	131088	1036566	1034973	1606	1594	87.16	12301352	4724707	I	ptg000020l
133961	135317	473574	472216	1357	1359	96.55	12301352	1000180	I	ptg000032l
224127	225372	2546517	2547761	1246	1245	99.44	12301352	2908802	I	ptg000009l
224131	225374	704073	705316	1244	1244	99.44	12301352	1390789	I	ptg000004l
224131	225373	401981	403223	1243	1243	99.68	12301352	2130425	I	ptg000019l
224132	225372	45100	43860	1241	1241	99.68	12301352	1390789	I	ptg000004l
224132	225372	1497405	1498645	1241	1241	99.19	12301352	3496991	I	ptg000005l
224132	225376	510207	511451	1245	1245	99.76	12301352	2322221	I	ptg000008l
224132	225372	623565	624800	1241	1236	98.95	12301352	1600654	I	ptg000011l
224132	225372	1468340	1469580	1241	1241	99.76	12301352	1600654	I	ptg000011l
224132	225376	1519737	1518493	1245	1245	99.68	12301352	1600654	I	ptg000011l
224132	225374	122527	123769	1243	1243	98.95	12301352	294185	I	ptg000042l
241324	242353	506735	507764	1030	1030	99.61	12301352	1869696	I	ptg000015l
241325	242353	456085	455056	1029	1030	99.71	12301352	3100591	I	ptg000012l
249512	250622	5516623	5517717	1111	1095	85.16	12301352	5953278	I	ptg000007l
297969	312191	311785	326006	14223	14222	99.96	12301352	1390789	I	ptg000004l
311100	312191	1139147	1138059	1092	1089	92.98	12301352	1600654	I	ptg000011l
311100	312186	2165039	2163953	1087	1087	92.33	12301352	3100591	I	ptg000012l
311102	312191	946137	947221	1090	1085	93.05	12301352	3100591	I	ptg000012l
311102	312186	220760	219666	1085	1095	92.38	12301352	1346118	I	ptg000036l
312152	313215	522248	523307	1064	1060	94.68	12301352	1000180	I	ptg000032l
312185	313215	63507	62491	1031	1017	96.80	12301352	175527	I	ptg000040l
312186	313294	1098256	1099368	1109	1113	93.40	12301352	1600654	I	ptg000011l
312412	318225	325189	331013	5814	5825	98.71	12301352	1390789	I	ptg000004l
313177	314556	346693	345318	1380	1376	99.13	12301352	1869696	I	ptg000015l
313177	314456	339105	337838	1280	1268	95.01	12301352	2130425	I	ptg000019l
313180	314456	1855558	1854290	1277	1269	95.47	12301352	3100591	I	ptg000012l
313181	314473	1525311	1524033	1293	1279	89.45	12301352	2130425	I	ptg000019l
313348	314456	627489	626388	1109	1102	92.37	12301352	3100591	I	ptg000012l
317507	319409	330492	332463	1903	1972	94.38	12301352	1390789	I	ptg000004l
317507	318818	330959	332272	1312	1314	97.34	12301352	1390789	I	ptg000004l
317507	380167	331625	394295	62661	62671	99.81	12301352	1390789	I	ptg000004l
317507	319277	331759	333533	1771	1775	97.41	12301352	1390789	I	ptg000004l
380224	450678	394023	464450	70455	70428	99.82	12301352	1390789	I	ptg000004l
420130	422263	5894462	5896624	2134	2163	95.84	12301352	5953278	I	ptg000007l
440601	443226	2105693	2103068	2626	2626	99.16	12301352	5170851	I	ptg000018l
450840	481856	464450	495494	31017	31045	99.86	12301352	1390789	I	ptg000004l
481857	503345	500073	521548	21489	21476	99.84	12301352	1390789	I	ptg000004l
503267	511120	522152	530007	7854	7856	99.81	12301352	1390789	I	ptg000004l
511116	561845	530064	580784	50730	50721	99.62	12301352	1390789	I	ptg000004l
527066	528313	608870	607623	1248	1248	97.92	12301352	1390789	I	ptg000004l
527069	528313	1224382	1225626	1245	1245	98.80	12301352	4724707	I	ptg000020l
527072	528313	1314159	1312918	1242	1242	98.95	12301352	3224320	I	ptg000028l
527073	528314	1084931	1086172	1242	1242	98.87	12301352	1850450	I	ptg000010l
527073	528313	515458	514222	1241	1237	97.90	12301352	4812546	I	ptg000014l
527073	528313	1339532	1338292	1241	1241	93.55	12301352	3224320	I	ptg000028l
551728	561845	570648	580840	10118	10193	98.82	12301352	1390789	I	ptg000004l
561009	570476	580510	589881	9468	9372	98.19	12301352	1390789	I	ptg000004l
568343	569584	1518496	1519737	1242	1242	97.83	12301352	1600654	I	ptg000011l
568344	569588	1106458	1107702	1245	1245	98.55	12301352	3100591	I	ptg000012l
568344	569584	1198210	1199450	1241	1241	98.47	12301352	3100591	I	ptg000012l
568344	569587	984224	982981	1244	1244	98.55	12301352	1869696	I	ptg000015l
568344	569585	2091632	2092873	1242	1242	98.39	12301352	2130425	I	ptg000019l
569601	576882	591576	598859	7282	7284	99.30	12301352	1390789	I	ptg000004l
576267	599181	599170	622082	22915	22913	99.11	12301352	1390789	I	ptg000004l
584713	585961	2437716	2436469	1249	1248	92.96	12301352	3224320	I	ptg000028l
584718	585968	403224	401973	1251	1252	93.53	12301352	2130425	I	ptg000019l
584718	585961	1312916	1314159	1244	1244	97.51	12301352	3224320	I	ptg000028l
584720	585967	547234	545987	1248	1248	97.92	12301352	1390789	I	ptg000004l
584720	585960	1086171	1084931	1241	1241	97.42	12301352	1850450	I	ptg000010l
584720	585960	514222	515458	1241	1237	96.45	12301352	4812546	I	ptg000014l
597008	598728	621582	623305	1721	1724	91.75	12301352	1390789	I	ptg000004l
597017	598086	622230	623305	1070	1076	91.67	12301352	1390789	I	ptg000004l
597442	600786	619923	623305	3345	3383	92.65	12301352	1390789	I	ptg000004l
597743	605230	619923	627316	7488	7394	95.21	12301352	1390789	I	ptg000004l
603703	604775	632243	631129	1073	1115	81.92	12301352	1390789	I	ptg000004l
605010	613613	626964	635571	8604	8608	99.41	12301352	1390789	I	ptg000004l
609173	610287	626935	625863	1115	1073	82.27	12301352	1390789	I	ptg000004l
611719	612821	1680853	1679752	1103	1102	90.31	12301352	3489986	I	ptg000006l
611719	612824	348109	347005	1106	1105	87.34	12301352	5170851	I	ptg000018l
639233	640452	634780	636005	1220	1226	92.68	12301352	1390789	I	ptg000004l
639835	641275	635667	637107	1441	1441	96.82	12301352	1390789	I	ptg000004l
641277	667508	637203	663432	26232	26230	99.71	12301352	1390789	I	ptg000004l
657410	739628	653341	735575	82219	82235	99.56	12301352	1390789	I	ptg000004l
708126	709370	2054195	2052952	1245	1244	97.43	12301352	2322221	I	ptg000008l
708126	709367	645302	644066	1242	1237	97.91	12301352	1600654	I	ptg000011l
708126	709370	122527	123771	1245	1245	98.88	12301352	294185	I	ptg000042l
739628	746502	735731	742633	6875	6903	99.05	12301352	1390789	I	ptg000004l
746441	772352	742516	768372	25912	25857	99.36	12301352	1390789	I	ptg000004l
772166	773647	768319	769793	1482	1475	98.99	12301352	1390789	I	ptg000004l
773642	774889	1314161	1312914	1248	1248	96.47	12301352	3224320	I	ptg000028l
773644	774885	608864	607623	1242	1242	95.49	12301352	1390789	I	ptg000004l
773644	774889	1988676	1989920	1246	1245	94.39	12301352	3224320	I	ptg000028l
773645	774888	1084931	1086174	1244	1244	96.46	12301352	1850450	I	ptg000010l
773645	774885	515458	514222	1241	1237	95.49	12301352	4812546	I	ptg000014l
773645	774886	3721063	3722304	1242	1242	95.17	12301352	5170851	I	ptg000018l
773645	774885	1224386	1225626	1241	1241	96.45	12301352	4724707	I	ptg000020l
774881	780141	769793	775058	5261	5266	99.41	12301352	1390789	I	ptg000004l
778623	779649	776744	775718	1027	1027	98.54	12301352	1390789	I	ptg000004l
780138	809008	775222	804085	28871	28864	99.36	12301352	1390789	I	ptg000004l
780634	781660	774567	773541	1027	1027	98.93	12301352	1390789	I	ptg000004l
809235	842247	804085	837144	33013	33060	99.30	12301352	1390789	I	ptg000004l
843092	848891	842360	848152	5800	5793	98.43	12301352	1390789	I	ptg000004l
848551	863287	847992	862739	14737	14748	98.99	12301352	1390789	I	ptg000004l
863278	868575	862837	868145	5298	5309	99.36	12301352	1390789	I	ptg000004l
870081	876513	868146	874520	6433	6375	98.80	12301352	1390789	I	ptg000004l
876759	904039	874480	901736	27281	27257	99.41	12301352	1390789	I	ptg000004l
904040	983591	901864	981429	79552	79566	99.65	12301352	1390789	I	ptg000004l
983528	984704	980640	981787	1177	1148	89.09	12301352	1390789	I	ptg000004l
984101	985290	980564	981787	1190	1224	86.77	12301352	1390789	I	ptg000004l
984466	986313	980584	982516	1848	1933	89.21	12301352	1390789	I	ptg000004l
986022	1054847	982309	1051315	68826	69007	99.44	12301352	1390789	I	ptg000004l
1053007	1097728	1049695	1094425	44722	44731	99.48	12301352	1390789	I	ptg000004l
1097219	1226716	1093744	1223273	129498	129530	99.51	12301352	1390789	I	ptg000004l
1226936	1234250	1223276	1230581	7315	7306	99.52	12301352	1390789	I	ptg000004l
1233638	1245813	1230146	1242321	12176	12176	98.66	12301352	1390789	I	ptg000004l
