[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	312832	3893	316741	312832	312849	99.94	12301352	12482991	I	ptg000004l
10001	14690	18073	22765	4690	4693	99.83	12301352	2396146	I	ptg000018l
12784	14701	12457743	12455823	1918	1921	99.74	12301352	12482991	I	ptg000004l
15320	16399	5024409	5023324	1080	1086	89.19	12301352	6207716	I	ptg000005l
15321	16394	1313993	1315064	1074	1072	89.20	12301352	2127298	I	ptg000017l
15322	16393	5026459	5025392	1072	1068	91.19	12301352	6207716	I	ptg000005l
17362	24213	12465435	12472304	6852	6870	98.63	12301352	12482991	I	ptg000004l
17362	23136	169782	175568	5775	5787	99.05	12301352	183281	I	ptg000012l
112252	113860	4324310	4322725	1609	1586	98.07	12301352	9052856	I	ptg000010l
129483	131088	2269283	2267690	1606	1594	87.16	12301352	4491803	I	ptg000003l
224131	225373	234894	236136	1243	1243	99.60	12301352	1775691	I	ptg000015l
224132	225372	35068	33828	1241	1241	99.84	12301352	12482991	I	ptg000004l
224132	225372	349978	351218	1241	1241	99.60	12301352	2009144	I	ptg000009l
224132	225376	496811	498055	1245	1245	99.76	12301352	6285825	I	ptg000013l
241324	242353	3932666	3933696	1030	1031	99.71	12301352	9052856	I	ptg000010l
241325	242353	2925185	2926214	1029	1030	99.51	12301352	9052856	I	ptg000010l
249512	250622	641634	640540	1111	1095	85.16	12301352	6207716	I	ptg000005l
311101	312191	1660520	1661616	1091	1097	93.83	12301352	2127298	I	ptg000017l
311102	312191	2171988	2170903	1090	1086	93.14	12301352	9052856	I	ptg000010l
311102	312186	2116824	2117917	1085	1094	92.37	12301352	2127298	I	ptg000017l
313095	526403	316741	530090	213309	213350	99.97	12301352	12482991	I	ptg000004l
313177	314556	3774624	3773247	1380	1378	98.99	12301352	9052856	I	ptg000010l
313181	314473	1374973	1373695	1293	1279	89.38	12301352	1775691	I	ptg000015l
313226	314456	1096596	1097818	1231	1223	95.71	12301352	1525752	I	ptg000007l
313348	314559	10983064	10981862	1212	1203	91.22	12301352	12482991	I	ptg000004l
313348	314456	7026817	7027918	1109	1102	92.73	12301352	7388900	I	ptg000006l
420130	422514	264119	261711	2385	2409	96.27	12301352	6207716	I	ptg000005l
440600	442493	2854754	2852869	1894	1886	98.84	12301352	4491803	I	ptg000003l
440601	443226	3090145	3092770	2626	2626	99.16	12301352	11041565	I	ptg000002l
442493	443858	2852590	2851225	1366	1366	99.34	12301352	4491803	I	ptg000003l
527065	528314	770250	771499	1250	1250	96.08	12301352	12482991	I	ptg000004l
527066	528313	588678	587431	1248	1248	98.56	12301352	12482991	I	ptg000004l
527069	528313	2458823	2460068	1245	1246	98.07	12301352	4491803	I	ptg000003l
527072	528313	2333672	2334913	1242	1242	98.87	12301352	7388900	I	ptg000006l
527073	528313	11616697	11615457	1241	1241	93.23	12301352	12482991	I	ptg000004l
527073	528313	2308296	2309536	1241	1241	93.47	12301352	7388900	I	ptg000006l
527073	528313	1975860	1974620	1241	1241	98.23	12301352	3891610	I	ptg000014l
527379	618619	530090	621353	91241	91264	99.77	12301352	12482991	I	ptg000004l
568344	569584	1889916	1888676	1241	1241	98.71	12301352	9052856	I	ptg000010l
568344	569588	1981677	1980433	1245	1245	98.55	12301352	9052856	I	ptg000010l
568344	569587	4411056	4409813	1244	1244	98.63	12301352	9052856	I	ptg000010l
568344	569588	1952996	1954240	1245	1245	97.67	12301352	2127298	I	ptg000017l
584718	585968	236137	234886	1251	1252	93.45	12301352	1775691	I	ptg000015l
584720	585961	771498	770257	1242	1242	95.25	12301352	12482991	I	ptg000004l
584720	585960	1974620	1975860	1241	1241	96.78	12301352	3891610	I	ptg000014l
589806	605362	592517	608052	15557	15536	99.82	12301352	12482991	I	ptg000004l
603703	604775	613021	611907	1073	1115	81.92	12301352	12482991	I	ptg000004l
609173	610287	607465	606393	1115	1073	81.92	12301352	12482991	I	ptg000004l
611718	612821	1618705	1619821	1104	1117	86.33	12301352	2742729	I	ptg000021l
612824	625294	615836	628298	12471	12463	97.93	12301352	12482991	I	ptg000004l
612824	627100	622231	636485	14277	14255	97.96	12301352	12482991	I	ptg000004l
612824	620992	622508	630664	8169	8157	97.88	12301352	12482991	I	ptg000004l
612824	615699	633617	636485	2876	2869	97.39	12301352	12482991	I	ptg000004l
619499	632251	615558	628306	12753	12749	97.88	12301352	12482991	I	ptg000004l
624504	634057	615558	625109	9554	9552	98.63	12301352	12482991	I	ptg000004l
625440	640018	618023	632600	14579	14578	98.03	12301352	12482991	I	ptg000004l
625982	637106	625374	636485	11125	11112	97.96	12301352	12482991	I	ptg000004l
627519	635717	628298	636485	8199	8188	97.83	12301352	12482991	I	ptg000004l
632251	639189	629553	636485	6939	6933	98.27	12301352	12482991	I	ptg000004l
632390	635031	628306	630942	2642	2637	98.56	12301352	12482991	I	ptg000004l
634198	636272	625111	627185	2075	2075	98.75	12301352	12482991	I	ptg000004l
635031	677477	631497	673933	42447	42437	99.84	12301352	12482991	I	ptg000004l
657371	739628	653839	736085	82258	82247	99.96	12301352	12482991	I	ptg000004l
708124	709366	4969581	4970824	1243	1244	98.47	12301352	6285825	I	ptg000013l
708126	709370	602779	604023	1245	1245	98.96	12301352	2009144	I	ptg000009l
739628	843197	736240	839793	103570	103554	99.94	12301352	12482991	I	ptg000004l
773642	774889	2333670	2334917	1248	1248	96.39	12301352	7388900	I	ptg000006l
773644	774885	2501819	2500578	1242	1242	94.69	12301352	11041565	I	ptg000002l
773644	774885	588672	587431	1242	1242	95.17	12301352	12482991	I	ptg000004l
773645	774885	1232752	1231511	1241	1242	94.69	12301352	4491803	I	ptg000003l
773645	774885	2458827	2460068	1241	1242	95.41	12301352	4491803	I	ptg000003l
773645	774885	1975860	1974620	1241	1241	95.81	12301352	3891610	I	ptg000014l
778623	779649	778275	777249	1027	1027	98.54	12301352	12482991	I	ptg000004l
780634	781660	776264	775238	1027	1027	98.54	12301352	12482991	I	ptg000004l
843092	863287	839576	859760	20196	20185	99.67	12301352	12482991	I	ptg000004l
863278	876527	859858	873072	13250	13215	98.67	12301352	12482991	I	ptg000004l
876745	878205	873018	874468	1461	1451	99.04	12301352	12482991	I	ptg000004l
878626	885081	874393	880840	6456	6448	99.41	12301352	12482991	I	ptg000004l
884957	983593	880573	979280	98637	98708	99.79	12301352	12482991	I	ptg000004l
982853	985153	978562	980775	2301	2214	90.03	12301352	12482991	I	ptg000004l
984110	1011115	979264	1006346	27006	27083	99.06	12301352	12482991	I	ptg000004l
1011041	1111879	1006330	1107175	100839	100846	99.84	12301352	12482991	I	ptg000004l
